stp2loop16-63um-in-loop1pts-10um-25deg-250rpm05/12/202208:50:59	
Time (seconds)	Raw Heat Rate (uJ / s)
350	-92,6009767
351	-92,60593459
352	-92,61151991
353	-92,61757348
354	-92,62396316
355	-92,63051293
356	-92,63696362
357	-92,64325466
358	-92,64938326
359	-92,65514924
360	-92,66048201
361	-92,66542715
362	-92,67003892
363	-92,67438848
364	-92,67855351
365	-92,68253313
366	-92,6863782
367	-92,69014594
368	-92,69383716
369	-92,69754343
370	-92,70123959
371	-92,70491237
372	-92,70858591
373	-92,71225678
374	-92,71597997
375	-92,71975177
376	-92,72350811
377	-92,72708003
378	-92,73027394
379	-92,73298082
380	-92,73516234
381	-92,73678666
382	-92,73803801
383	-92,73903874
384	-92,73974294
385	-92,74027104
386	-92,74077413
387	-92,74137734
388	-92,7421703
389	-92,74324656
390	-92,74464683
391	-92,74629912
392	-92,74830192
393	-92,75072353
394	-92,75356891
395	-92,75695172
396	-92,76088934
397	-92,76532678
398	-92,77030717
399	-92,77574731
400	-92,78152556
401	-92,78755409
402	-92,79370476
403	-92,79996342
404	-92,80627633
405	-92,81266201
406	-92,81918625
407	-92,82579522
408	-92,83256926
409	-92,83964613
410	-92,84699824
411	-92,85449394
412	-92,86197592
413	-92,86929022
414	-92,87643011
415	-92,88345434
416	-92,89037279
417	-92,897192
418	-92,90383559
419	-92,9102736
420	-92,91651887
421	-92,92268992
422	-92,92896987
423	-92,93527932
424	-92,94150813
425	-92,94761226
426	-92,95356338
427	-92,95937801
428	-92,965084
429	-92,97074718
430	-92,97637592
431	-92,98209779
432	-92,98813951
433	-92,99458882
434	-93,00151977
435	-93,00896318
436	-93,01684548
437	-93,02496169
438	-93,03325738
439	-93,04153456
440	-93,04954685
441	-93,05725188
442	-93,06460272
443	-93,07168181
444	-93,07857778
445	-93,08536143
446	-93,09199178
447	-93,0984285
448	-93,10475545
449	-93,1109133
450	-93,11679639
451	-93,12238541
452	-93,12775178
453	-93,13290128
454	-93,13789979
455	-93,14281885
456	-93,14770561
457	-93,1526415
458	-93,15762539
459	-93,16263007
460	-93,16757037
461	-93,17246286
462	-93,17733302
463	-93,18214979
464	-93,18688718
465	-93,19160932
466	-93,19637376
467	-93,20121598
468	-93,20618024
469	-93,21138117
470	-93,21686837
471	-93,22259475
472	-93,22844535
473	-93,23436221
474	-93,24021351
475	-93,24593434
476	-93,2513356
477	-93,25617828
478	-93,26029979
479	-93,26373269
480	-93,26657682
481	-93,26892518
482	-93,27080278
483	-93,27224888
484	-93,27328546
485	-93,27398632
486	-93,27448061
487	-93,27489585
488	-93,2752172
489	-93,27550025
490	-93,27585449
491	-93,27652115
492	-93,27781196
493	-93,2799041
494	-93,2828792
495	-93,28672505
496	-93,29136107
497	-93,29668167
498	-93,30257067
499	-93,30893987
500	-93,31570532
501	-93,32276885
502	-93,32998939
503	-93,33737707
504	-93,34502816
505	-93,35295214
506	-93,36108212
507	-93,36925697
508	-93,37733823
509	-93,38528745
510	-93,39302027
511	-93,40046473
512	-93,4076279
513	-93,41449322
514	-93,42102126
515	-93,42727639
516	-93,43340242
517	-93,43955055
518	-93,44575942
519	-93,45187389
520	-93,45777043
521	-93,46340597
522	-93,46874032
523	-93,47382159
524	-93,4786703
525	-93,48333081
526	-93,48785617
527	-93,49226481
528	-93,49665552
529	-93,50113439
530	-93,50584063
531	-93,51074206
532	-93,51573398
533	-93,52077897
534	-93,52603267
535	-93,53149366
536	-93,53708492
537	-93,54274447
538	-93,54840701
539	-93,55400925
540	-93,5594779
541	-93,56484864
542	-93,57021568
543	-93,57567741
544	-93,58126581
545	-93,58681514
546	-93,59230826
547	-93,5979596
548	-93,60383473
549	-93,60976934
550	-93,61573634
551	-93,62175824
552	-93,62793095
553	-93,6343899
554	-93,64121824
555	-93,64842813
556	-93,65594353
557	-93,66364448
558	-93,67129889
559	-93,67868463
560	-93,68570829
561	-93,69234646
562	-93,69858662
563	-93,70446085
564	-93,71007021
565	-93,71555004
566	-93,720989
567	-93,72636088
