scan 320/11/202208:56:57		
temp(C)	power	time(seconds)
5,135813236	394,4340515	7,127325535
5,238736629	363,3546143	13,24596024
5,339729786	293,9439697	19,35450745
5,440700054	242,2022552	25,47794533
5,541426182	201,068222	31,59234428
5,642071724	165,1128235	37,70520401
5,742713451	133,2536926	43,81599808
5,843466759	105,6742477	49,93589783
5,944093704	82,5247345	56,04418182
6,044879913	63,45920563	62,16212845
6,145715714	48,17835617	68,2807312
6,246479511	36,13460159	74,3932724
6,347242832	26,80866814	80,50543976
6,448083401	19,61435509	86,61582947
6,548895836	14,19634151	92,72832489
6,649916172	10,15140343	98,84697723
6,750923634	7,19139576	104,9628067
6,852030754	5,026226997	111,0860367
6,953143597	3,500306845	117,2028656
7,054329872	2,444216728	123,3236237
7,155437469	1,757229209	129,4359741
7,256590366	1,29983449	135,5512543
7,357605934	1,084100127	141,6552277
7,458883286	1,004638553	147,7760773
7,560168743	1,036848783	153,8913269
7,661454678	1,094534397	160,0079346
7,762756824	1,213848591	166,1241913
7,863985538	1,365709066	172,2326508
7,965283394	1,553361416	178,3463898
8,066880226	1,725569606	184,4746704
8,168101311	1,962775111	190,5827332
8,269643784	2,166461706	196,7035675
8,371052742	2,337931633	202,8189697
8,472379684	2,514273405	208,9259949
8,573616982	2,675468922	215,0242767
8,675053596	2,802965641	221,1403656
8,776647568	2,934518337	227,2588959
8,878211975	3,082454681	233,3780212
8,979705811	3,217672586	239,4920349
9,081332207	3,338821888	245,6112976
9,182964325	3,437416315	251,7299194
9,284452438	3,528008938	257,8383179
9,386004448	3,626458168	263,9519958
9,4874506	3,722310066	270,0582581
9,589072227	3,796100378	276,1726074
9,690710068	3,860339403	282,2891846
9,7924757	3,927613735	288,4107056
9,894170761	3,993468285	294,5328064
9,995759964	4,050475597	300,6410828
10,09746265	4,093630791	306,7590637
10,19911098	4,131007195	312,8732605
10,3007412	4,16301775	318,9836731
10,40244198	4,185986519	325,1004639
10,50416374	4,213028908	331,213562
10,6058836	4,242460728	337,329895
10,70763588	4,270670891	343,4486389
10,80931568	4,307205677	349,5597534
10,91120052	4,352011204	355,6852112
11,01299477	4,398578644	361,8030701
11,1146822	4,440675735	367,9134521
11,21647549	4,494870186	374,0314636
11,31821537	4,549963951	380,1425476
11,4199295	4,62228775	386,2575989
11,52171707	4,674506664	392,374115
11,62347317	4,72711277	398,4867859
11,72525787	4,776374817	404,6013184
11,82703018	4,829897404	410,715332
11,92883301	4,866426945	416,832428
12,03073978	4,914826393	422,9521484
12,13264847	4,966787338	429,0715637
12,23429871	5,012536049	435,1799316
12,33613682	5,047501087	441,2945862
12,43793678	5,098806381	447,4115906
12,5397253	5,138154507	453,5239258
12,64157867	5,167195797	459,6420288
12,74360275	5,19618082	465,7669373
12,84555149	5,242827892	471,8892212
12,94736195	5,28894186	478,00354
13,04914093	5,320600033	484,1140442
13,15101624	5,345321178	490,2339172
13,25288105	5,375559807	496,3494568
13,35476875	5,397157669	502,4651489
13,45674419	5,417756557	508,5898743
13,55866051	5,446300507	514,7084961
13,66052628	5,487088203	520,8242188
13,76247215	5,52025795	526,944458
13,86423969	5,539763927	533,0547485
13,96611309	5,560901165	539,1688232
14,06802464	5,589558125	545,2906494
14,16999531	5,6138134	551,4090576
14,27196598	5,631781578	557,5292358
14,37379742	5,659071445	563,6436157
14,47560596	5,678547859	569,7541504
14,57748699	5,699499607	575,8707275
14,67933655	5,71917057	581,9838867
14,78114796	5,745249748	588,0953979
14,88307667	5,767839909	594,2121582
14,98503399	5,781732082	600,3320313
15,08703423	5,793322563	606,4555664
15,18888569	5,812457085	612,5673218
15,29089165	5,841159344	618,6922607
15,39276028	5,865855694	624,8039551
15,494771	5,881567001	630,928833
15,59678841	5,897610188	637,0512695
15,69870377	5,913006783	643,1661987
15,80053043	5,932808399	649,2770996
15,90227318	5,948931217	655,3833008
16,00426102	5,964251041	661,5059204
16,10590553	5,9861269	667,6054077
16,20786285	6,000874996	673,7238159
16,30976486	6,015292168	679,8410034
16,41173172	6,034613609	685,9608154
16,51370049	6,048749447	692,0792847
16,61558151	6,069149017	698,1923218
16,71751976	6,087024212	704,3087158
16,819561	6,097894192	710,4312134
16,92151642	6,112336636	716,5524902
17,02350235	6,126090527	722,6713867
17,12540817	6,137101173	728,7876587
17,22739792	6,148803234	734,9082031
17,32930946	6,161237717	741,0222778
17,43125534	6,172159672	747,1401367
17,53326988	6,192170143	753,262207
17,63513756	6,209856033	759,3738403
17,73720551	6,224123478	765,500061
17,83924484	6,233447552	771,6192017
17,94106865	6,249749184	777,7340698
18,0428791	6,258552551	783,8427734
18,14464951	6,269338131	789,9466553
18,24638176	6,277655602	796,0496826
18,34819412	6,295093536	802,1593018
18,45004463	6,314020634	808,2722778
18,5519104	6,327992916	814,385498
18,65373802	6,340502262	820,4950562
18,75555229	6,35458231	826,6030273
18,85745811	6,368413448	832,7196045
18,95935631	6,376151085	838,8323364
19,06117249	6,390978813	844,9419556
19,16295242	6,402798653	851,0524902
19,26493263	6,404367447	857,1662598
19,36683846	6,40515089	863,2822876
19,46887207	6,414908886	869,4058838
