scan 520/11/202208:56:57		
temp(C)	power	time(seconds)
5,117547512	377,09552	6,11400795
5,221844196	376,2235718	12,22840691
5,322951317	304,6713562	18,33943939
5,423857212	250,2458038	24,45780754
5,524627209	207,9112244	30,5761776
5,625367165	171,1544495	36,69442368
5,725970268	138,5795746	42,80282974
5,826642036	110,2963104	48,91905975
5,927506447	86,33963013	55,04185867
6,028298855	66,6137619	61,15683365
6,129080772	50,73329163	67,27269745
6,229881763	38,20825958	73,38902283
6,330768108	28,44376373	79,50930023
6,431624889	20,91273499	85,62230682
6,532534599	15,22769547	91,73834991
6,633430004	10,9974823	97,85022736
6,734363556	7,85143137	103,9635773
6,835434437	5,551130772	110,0812454
6,93648243	3,935104847	116,1962509
7,037620544	2,837901831	122,314476
7,138842106	2,108248949	128,4349365
7,239973068	1,618241668	134,5475159
7,341128826	1,361961603	140,6616669
7,442230225	1,257795572	146,7700195
7,543320179	1,271483898	152,8751831
7,644742966	1,320815921	159,001236
7,746059418	1,464458108	165,1172638
7,847484112	1,6225245	171,2398224
7,948668003	1,77810204	177,3453217
8,050099373	1,983764291	183,4644623
8,15145874	2,207015038	189,578476
8,252838135	2,413372993	195,6915894
8,354262352	2,612438679	201,806015
8,45561409	2,790357828	207,9134979
8,557107925	2,948649883	214,0331421
8,658542633	3,086062431	220,1446838
8,760056496	3,226108074	226,2615051
8,861666679	3,358943462	232,3840942
8,963242531	3,483206034	238,5005493
9,064796448	3,611323595	244,6168976
9,16642952	3,727205038	250,7329407
9,268018723	3,830387115	256,8534546
9,369631767	3,932399035	262,9676514
9,471282005	4,013611794	269,0867004
9,572829247	4,087452888	275,1982727
9,674388885	4,158165455	281,3084106
9,775885582	4,226912022	287,4129028
9,877444267	4,290653229	293,5256348
9,979186058	4,349898815	299,6454468
10,08079052	4,394337177	305,7575684
10,18224525	4,432149887	311,8574829
10,28395081	4,463817596	317,973877
10,38556194	4,487645626	324,0840454
10,48729706	4,51028347	330,2025452
10,58901501	4,540626526	336,3165283
10,69076061	4,568379879	342,4345093
10,79242039	4,602796078	348,5437927
10,89412403	4,650977135	354,65802
10,99585152	4,695051193	360,7743225
11,09764385	4,738543034	366,8883972
11,199296	4,785604	372,9978333
11,30101871	4,847956657	379,1112061
11,40275288	4,908868313	385,2242126
11,50438786	4,965624809	391,328949
11,60614586	5,020825386	397,4465332
11,7078619	5,061178207	403,5585938
11,80971813	5,102870464	409,674408
11,91140938	5,146405697	415,78479
12,01316929	5,191658974	421,8961792
12,11483479	5,24503231	428,0040283
12,21654606	5,290250778	434,1143799
12,31831264	5,325242043	440,223999
12,42010212	5,361560822	446,3400574
12,52199841	5,405344963	452,4598694
12,62384129	5,444236279	458,5744629
12,72561836	5,475949764	464,6860657
12,8274765	5,520838737	470,8049011
12,92932796	5,551606655	476,9191895
13,03118801	5,579199791	483,0379944
13,13324261	5,600839138	489,1667786
13,23508453	5,631306171	495,2793274
13,33692646	5,663767815	501,3950195
13,43881989	5,689444065	507,5112305
13,54074097	5,709173203	513,6316528
13,6426506	5,739080906	519,7489624
13,74461079	5,772405624	525,8716431
13,84650803	5,795044422	531,9886475
13,94834614	5,813001633	538,0994873
14,0501709	5,83653307	544,2155762
14,15210915	5,862419128	550,3353271
14,25410461	5,881890297	556,4544678
14,3559103	5,896764755	562,5700073
14,45767975	5,922096729	568,6789551
14,55953979	5,949730873	574,7919922
14,66142654	5,967184067	580,9055176
14,76327038	5,982306957	587,0183105
14,86504936	6,001643181	593,1287842
14,96700668	6,021146774	599,2478027
15,06877613	6,034043312	605,3568115
15,17064285	6,054629803	611,4692383
15,27249908	6,081967354	617,5822144
15,37431431	6,104741096	623,6950684
15,4762125	6,124129295	629,8121338
15,57814789	6,14158535	635,9268188
15,67993355	6,150346756	642,0375977
15,7819128	6,162358761	648,1575317
15,88378143	6,178217888	654,2694092
15,98569107	6,206514359	660,3873291
16,08757591	6,232549191	666,5024414
16,18941879	6,241548061	672,6141968
16,2913723	6,246133327	678,730957
16,39321899	6,258419514	684,8439941
16,49520111	6,269893169	690,9638062
16,59719658	6,272105217	697,0828247
16,69899178	6,278230667	703,1912842
16,80095291	6,290724277	709,3099976
16,90286255	6,300714493	715,4267578
17,0048275	6,301425934	721,5419312
17,10674667	6,299139977	727,6578369
17,20874405	6,301643372	733,781311
17,31054306	6,298045158	739,8881226
17,41246223	6,294499874	746,0025024
17,51434898	6,295571804	752,1189575
17,6163063	6,294547558	758,2385864
17,71816444	6,292598248	764,3482056
17,82014465	6,28935194	770,4662476
17,92205048	6,286614895	776,5841064
18,02399826	6,284770489	782,6962891
18,1257782	6,282837391	788,8060303
18,22767639	6,28095293	794,9193726
18,32946968	6,281051636	801,0253296
18,43143082	6,281208515	807,147522
18,53340721	6,280741215	813,2667847
18,63535309	6,278223038	819,385498
18,73737717	6,275782585	825,5056763
18,83934975	6,272079468	831,6235352
18,941185	6,269977093	837,7337646
19,0429287	6,268081665	843,8387451
19,14489174	6,268366337	849,9575806
19,24683189	6,267124653	856,0777588
19,34885216	6,264811516	862,1975708
19,4507618	6,260968208	868,31073
19,55255318	6,255412579	874,4180298
19,65445137	6,251479149	880,5332031
19,75632858	6,245313168	886,6463013
19,85824966	6,239174843	892,760376
19,95994186	6,238875866	898,8656616
20,0618763	6,234175682	904,9818726
20,16386223	6,22642231	911,0994263
20,26584625	6,226011276	917,2208252
20,36787415	6,227115631	923,3414307
20,46986198	6,228291512	929,4633789
20,57170868	6,22849369	935,5713501
20,67359352	6,228420734	941,6869507
