l4at56um-in-pool1pts-25deg-250rpm20/11/202208:07:50;;
Time (seconds);Raw Heat Rate (uJ / s);Raw Heat Rate (ucal / s)
3796;-92,80928089;-22,1819505
3797;-92,80842847;-22,18174677
3798;-92,80719455;-22,18145185
3799;-92,80564659;-22,18108188
3800;-92,80384899;-22,18065224
3801;-92,80180665;-22,18016411
3802;-92,79963866;-22,17964595
3803;-92,79744877;-22,17912256
3804;-92,79523028;-22,17859232
3805;-92,79296657;-22,17805128
3806;-92,79065662;-22,17749919
3807;-92,78833727;-22,17694485
3808;-92,78598858;-22,1763835
3809;-92,78361566;-22,17581636
3810;-92,78129524;-22,17526177
3811;-92,77903769;-22,1747222
3812;-92,77687089;-22,17420432
3813;-92,77487132;-22,17372642
3814;-92,77304176;-22,17328914
3815;-92,77132624;-22,17287912
3816;-92,76979441;-22,172513
3817;-92,76846039;-22,17219416
3818;-92,76722205;-22,1718982
3819;-92,76598474;-22,17160247
3820;-92,76477134;-22,17131246
3821;-92,76358733;-22,17102948
3822;-92,76241849;-22,17075012
3823;-92,76128914;-22,1704802
3824;-92,76014833;-22,17020753
3825;-92,75888799;-22,16990631
3826;-92,75749993;-22,16957455
3827;-92,75601817;-22,1692204
3828;-92,75441654;-22,16883761
3829;-92,75269656;-22,16842652
3830;-92,75094319;-22,16800745
3831;-92,74909587;-22,16756593
3832;-92,74702724;-22,16707152
3833;-92,74476643;-22,16653117
3834;-92,74241171;-22,16596838
3835;-92,73990565;-22,16536942
3836;-92,73719612;-22,16472183
3837;-92,73433878;-22,1640389
3838;-92,73138697;-22,16333341
3839;-92,72840072;-22,16261968
3840;-92,72541067;-22,16190504
3841;-92,72241035;-22,16118794
3842;-92,71938865;-22,16046574
3843;-92,71639278;-22,15974971
3844;-92,7134124;-22,15903738
3845;-92,71036292;-22,15830854
3846;-92,70728948;-22,15757397
3847;-92,70426607;-22,15685136
3848;-92,70128936;-22,15613991
3849;-92,69831895;-22,15542996
3850;-92,69541649;-22,15473625
3851;-92,69268576;-22,15408359
3852;-92,69005892;-22,15345577
3853;-92,68745404;-22,15283318
3854;-92,68488651;-22,15221953
3855;-92,68238537;-22,15162174
3856;-92,67996725;-22,1510438
3857;-92,67762803;-22,15048471
3858;-92,67534733;-22,14993961
3859;-92,67315438;-22,14941548
3860;-92,67105303;-22,14891325
3861;-92,66894461;-22,14840932
3862;-92,66678399;-22,14789292
3863;-92,6645713;-22,14736408
3864;-92,66234046;-22,14683089
3865;-92,66011337;-22,14629861
3866;-92,65783779;-22,14575473
3867;-92,65561498;-22,14522347
3868;-92,65356736;-22,14473407
3869;-92,65161058;-22,14426639
3870;-92,64965277;-22,14379846
3871;-92,64771121;-22,14333442
3872;-92,64578545;-22,14287415
3873;-92,64389712;-22,14242283
3874;-92,64209566;-22,14199227
3875;-92,64043679;-22,14159579
3876;-92,63887992;-22,14122369
3877;-92,6373855;-22,14086652
3878;-92,63591754;-22,14051566
3879;-92,63440436;-22,140154
3880;-92,63278172;-22,13976619
3881;-92,63105534;-22,13935357
3882;-92,62923765;-22,13891913
3883;-92,62731392;-22,13845935
3884;-92,62533974;-22,13798751
3885;-92,62337895;-22,13751887
3886;-92,62141448;-22,13704935
3887;-92,61945741;-22,1365816
3888;-92,61751939;-22,1361184
3889;-92,61551768;-22,13563998
3890;-92,61337631;-22,13512818
3891;-92,61118951;-22,13460552
3892;-92,60895042;-22,13407037
3893;-92,60664873;-22,13352025
3894;-92,60443099;-22,1329902
3895;-92,60240893;-22,13250691
3896;-92,60061555;-22,13207829
3897;-92,59897844;-22,13168701
3898;-92,59742258;-22,13131515
3899;-92,59591307;-22,13095437
3900;-92,59447864;-22,13061153
3901;-92,59323226;-22,13031364
3902;-92,5921748;-22,1300609
3903;-92,59125576;-22,12984124
3904;-92,59049523;-22,12965947
3905;-92,58995551;-22,12953048
3906;-92,58963701;-22,12945435
3907;-92,5895993;-22,12944534
3908;-92,5898775;-22,12951183
3909;-92,59035112;-22,12962503
3910;-92,59084383;-22,12974279
3911;-92,59133969;-22,1298613
3912;-92,59193349;-22,13000322
3913;-92,5926214;-22,13016764
3914;-92,5933609;-22,13034438
3915;-92,59413732;-22,13052995
3916;-92,5948286;-22,13069517
3917;-92,59539946;-22,13083161
3918;-92,5959156;-22,13095497
3919;-92,59643237;-22,13107848
3920;-92,59690007;-22,13119027
3921;-92,59726008;-22,13127631
3922;-92,59746517;-22,13132533
3923;-92,59749067;-22,13133142
3924;-92,59740773;-22,1313116
3925;-92,59735761;-22,13129962
3926;-92,59733137;-22,13129335
3927;-92,59724187;-22,13127196
3928;-92,59712154;-22,1312432
3929;-92,59707106;-22,13123113
3930;-92,59702865;-22,131221
3931;-92,59694719;-22,13120153
3932;-92,59680911;-22,13116852
3933;-92,59654436;-22,13110525
3934;-92,59609418;-22,13099765
3935;-92,59549913;-22,13085543
3936;-92,59478286;-22,13068424
3937;-92,59392596;-22,13047944
3938;-92,59295081;-22,13024637
3939;-92,59192417;-22,130001
3940;-92,59084962;-22,12974417
3941;-92,58970966;-22,12947172
3942;-92,58849876;-22,1291823
3943;-92,58722112;-22,12887694
3944;-92,58584071;-22,12854701
3945;-92,58443994;-22,12821222
3946;-92,58309117;-22,12788986
3947;-92,58183123;-22,12758873
3948;-92,58072736;-22,12732489
3949;-92,57982596;-22,12710945
3950;-92,57909515;-22,12693479
3951;-92,5784282;-22,12677538
3952;-92,57778822;-22,12662242
3953;-92,57717958;-22,12647696
3954;-92,57653103;-22,12632195
3955;-92,57588141;-22,12616669
3956;-92,57533432;-22,12603593
3957;-92,57496242;-22,12594704
3958;-92,57479073;-22,12590601
3959;-92,57487792;-22,12592684
3960;-92,57514172;-22,1259899
3961;-92,57545824;-22,12606554
3962;-92,57569845;-22,12612296
3963;-92,57570094;-22,12612355
3964;-92,5754422;-22,12606171
3965;-92,57495058;-22,12594421
3966;-92,5743915;-22,12581059
3967;-92,57392499;-22,12569909
3968;-92,57360005;-22,12562143
3969;-92,57343384;-22,1255817
3970;-92,57335707;-22,12556335
3971;-92,5733123;-22,12555265
3972;-92,57327172;-22,12554295
3973;-92,57316539;-22,12551754
3974;-92,57287555;-22,12544827
3975;-92,57236256;-22,12532566
3976;-92,57167889;-22,12516226
3977;-92,57092917;-22,12498307
3978;-92,57022034;-22,12481366
3979;-92,56956365;-22,1246567
3980;-92,56901494;-22,12452556
3981;-92,56855496;-22,12441562
3982;-92,56812908;-22,12431383
3983;-92,56771851;-22,12421571
3984;-92,56727867;-22,12411058
3985;-92,56678488;-22,12399256
3986;-92,56622687;-22,12385919
3987;-92,56558762;-22,12370641
3988;-92,56492154;-22,12354721
3989;-92,56435047;-22,12341072
3990;-92,56396259;-22,12331802
3991;-92,56373224;-22,12326296
3992;-92,56366823;-22,12324767
3993;-92,56378995;-22,12327676
3994;-92,56398939;-22,12332442
3995;-92,56409058;-22,12334861
3996;-92,56409566;-22,12334982
3997;-92,56406198;-22,12334177
3998;-92,56401408;-22,12333033
3999;-92,5639792;-22,12332199
4000;-92,56398993;-22,12332455
4001;-92,56400406;-22,12332793
4002;-92,56395932;-22,12331724
4003;-92,56385728;-22,12329285
4004;-92,56364116;-22,12324119
4005;-92,56325134;-22,12314803
4006;-92,56274728;-22,12302755
4007;-92,56214135;-22,12288273
4008;-92,56141332;-22,12270873
4009;-92,56068175;-22,12253388
4010;-92,5600794;-22,12238991
4011;-92,55958592;-22,12227197
4012;-92,55912485;-22,12216177
4013;-92,55864316;-22,12204664
4014;-92,55812392;-22,12192254
4015;-92,55751461;-22,12177691
4016;-92,55680797;-22,12160802
4017;-92,55601311;-22,12141805
4018;-92,5550304;-22,12118317
4019;-92,55384248;-22,12089925
4020;-92,55257344;-22,12059595
4021;-92,55128112;-22,12028707
4022;-92,55001294;-22,11998397
4023;-92,54877072;-22,11968708
4024;-92,54747842;-22,11937821
4025;-92,54605625;-22,1190383
4026;-92,54448026;-22,11866163
4027;-92,54279405;-22,11825862
4028;-92,54104614;-22,11784085
4029;-92,53929324;-22,1174219
4030;-92,53758;-22,11701243
4031;-92,53592574;-22,11661705
4032;-92,53433698;-22,11623733
4033;-92,53290442;-22,11589494
4034;-92,53166865;-22,11559958
4035;-92,53054865;-22,11533189
4036;-92,52951459;-22,11508475
4037;-92,52851666;-22,11484624
4038;-92,52753821;-22,11461238
4039;-92,52659674;-22,11438737
4040;-92,5257236;-22,11417868
4041;-92,52490771;-22,11398368
4042;-92,52413647;-22,11379935
4043;-92,52335227;-22,11361192
4044;-92,5224136;-22,11338757
4045;-92,52127183;-22,11311468
4046;-92,5200062;-22,11281219
4047;-92,51868875;-22,11249731
4048;-92,51728285;-22,11216129
4049;-92,51576048;-22,11179744
4050;-92,51417528;-22,11141857
4051;-92,51253969;-22,11102765
4052;-92,51085939;-22,11062605
4053;-92,50915622;-22,11021898
4054;-92,50741485;-22,10980279
4055;-92,50566902;-22,10938552
4056;-92,5039243;-22,10896852
4057;-92,50209779;-22,10853198
4058;-92,50015603;-22,10806789
4059;-92,49815487;-22,1075896
4060;-92,4961598;-22,10711276
4061;-92,4941509;-22,10663263
4062;-92,49211221;-22,10614537
4063;-92,49008092;-22,10565988
4064;-92,48799835;-22,10516213
4065;-92,4858046;-22,10463781
4066;-92,4834892;-22,10408442
4067;-92,48105273;-22,10350209
4068;-92,47851062;-22,10289451
4069;-92,47596128;-22,1022852
4070;-92,47344119;-22,10168288
4071;-92,47098018;-22,10109469
4072;-92,46859627;-22,10052492
4073;-92,46635996;-22,09999043
4074;-92,46437427;-22,09951584
4075;-92,46257682;-22,09908624
4076;-92,46088124;-22,09868099
4077;-92,45930145;-22,09830341
4078;-92,45785277;-22,09795716
4079;-92,45655151;-22,09764615
4080;-92,45541542;-22,09737462
4081;-92,4544212;-22,097137
4082;-92,453531;-22,09692424
4083;-92,45270854;-22,09672766
4084;-92,45188351;-22,09653047
4085;-92,45098599;-22,09631596
4086;-92,45003842;-22,09608949
4087;-92,44913645;-22,09587391
4088;-92,44827624;-22,09566832
4089;-92,4473686;-22,09545139
4090;-92,44643242;-22,09522763
4091;-92,44549219;-22,09500291
4092;-92,44456053;-22,09478024
4093;-92,44363066;-22,094558
4094;-92,44275211;-22,09434802
4095;-92,4419606;-22,09415884
4096;-92,44128495;-22,09399736
4097;-92,44076184;-22,09387233
4098;-92,44040146;-22,0937862
4099;-92,44013669;-22,09372292
4100;-92,4399198;-22,09367108
4101;-92,43970127;-22,09361885
4102;-92,43943723;-22,09355574
4103;-92,43914755;-22,09348651
4104;-92,4389074;-22,09342911
4105;-92,43877478;-22,09339741
4106;-92,43877839;-22,09339828
4107;-92,43889453;-22,09342603
4108;-92,43913609;-22,09348377
4109;-92,43946512;-22,09356241
4110;-92,43985398;-22,09365535
4111;-92,44028122;-22,09375746
4112;-92,44065332;-22,09384639
4113;-92,44090558;-22,09390669
4114;-92,44110964;-22,09395546
4115;-92,4413414;-22,09401085
4116;-92,44164201;-22,0940827
4117;-92,44208432;-22,09418841
4118;-92,44268604;-22,09433223
4119;-92,4434057;-22,09450423
4120;-92,44415619;-22,0946836
4121;-92,44481583;-22,09484126
4122;-92,44524295;-22,09494334
4123;-92,44540123;-22,09498117
4124;-92,44540329;-22,09498167
4125;-92,44529971;-22,09495691
4126;-92,44509281;-22,09490746
4127;-92,44491233;-22,09486432
4128;-92,44490195;-22,09486184
4129;-92,44507434;-22,09490305
4130;-92,4453917;-22,0949789
4131;-92,4458216;-22,09508164
4132;-92,44627747;-22,0951906
4133;-92,44671312;-22,09529472
4134;-92,44715611;-22,0954006
4135;-92,44769751;-22,09553
4136;-92,44842794;-22,09570458
4137;-92,44944452;-22,09594754
4138;-92,45075862;-22,09626162
4139;-92,45224192;-22,09661614
4140;-92,45377324;-22,09698213
4141;-92,45530131;-22,09734735
4142;-92,45678533;-22,09770204
4143;-92,45822031;-22,09804501
4144;-92,45969084;-22,09839647
4145;-92,46121118;-22,09875984
4146;-92,46263796;-22,09910085
4147;-92,46391054;-22,099405
4148;-92,46504731;-22,0996767
4149;-92,4660476;-22,09991577
4150;-92,46692747;-22,10012607
4151;-92,46779143;-22,10033256
4152;-92,46869426;-22,10054834
4153;-92,46956348;-22,10075609
4154;-92,47048173;-22,10097556
4155;-92,47157938;-22,1012379
4156;-92,47286632;-22,10154549
4157;-92,47430805;-22,10189007
4158;-92,47580739;-22,10224842
4159;-92,47715866;-22,10257138
4160;-92,47832401;-22,10284991
4161;-92,47953063;-22,1031383
4162;-92,48082738;-22,10344823
4163;-92,48215787;-22,10376622
4164;-92,48355279;-22,10409962
4165;-92,4849501;-22,10443358
4166;-92,4862111;-22,10473497
4167;-92,48723522;-22,10497974
4168;-92,488082;-22,10518212
4169;-92,48872017;-22,10533465
4170;-92,48909321;-22,10542381
4171;-92,48925451;-22,10546236
4172;-92,48923959;-22,10545879
4173;-92,48905259;-22,1054141
4174;-92,48878475;-22,10535008
4175;-92,48852413;-22,10528779
4176;-92,48818414;-22,10520653
4177;-92,48780419;-22,10511572
4178;-92,48741936;-22,10502375
4179;-92,48692165;-22,10490479
4180;-92,48626405;-22,10474762
4181;-92,48548131;-22,10456054
4182;-92,48463898;-22,10435922
4183;-92,48371635;-22,10413871
4184;-92,48270828;-22,10389777
4185;-92,48163046;-22,10364017
4186;-92,48046985;-22,10336277
4187;-92,4792059;-22,10306068
4188;-92,47791166;-22,10275135
4189;-92,47656798;-22,10243021
4190;-92,47507662;-22,10207376
4191;-92,47342671;-22,10167942
4192;-92,4715878;-22,10123991
4193;-92,46942953;-22,10072408
4194;-92,46692357;-22,10012514
4195;-92,46414218;-22,09946037
4196;-92,461096;-22,09873231
4197;-92,45793789;-22,09797751
4198;-92,45481818;-22,09723188
4199;-92,45170659;-22,09648819
4200;-92,44851307;-22,09572492
4201;-92,44527434;-22,09495085
4202;-92,44207772;-22,09418684
4203;-92,43883532;-22,09341188
4204;-92,43551985;-22,09261947
4205;-92,43220729;-22,09182775
4206;-92,42896529;-22,09105289
4207;-92,42580138;-22,0902967
4208;-92,42286281;-22,08959436
4209;-92,42022152;-22,08896308
4210;-92,4177527;-22,08837302
4211;-92,41548263;-22,08783046
4212;-92,41338438;-22,08732896
4213;-92,41137689;-22,08684916
4214;-92,40952513;-22,08640658
4215;-92,40786513;-22,08600983
4216;-92,40631839;-22,08564015
4217;-92,40480649;-22,0852788
4218;-92,40338848;-22,08493989
4219;-92,40212858;-22,08463876
4220;-92,40100211;-22,08436953
4221;-92,39993752;-22,08411508
4222;-92,39894231;-22,08387723
4223;-92,39798985;-22,08364958
4224;-92,39703857;-22,08342222
4225;-92,3961664;-22,08321377
4226;-92,39532667;-22,08301307
4227;-92,39440076;-22,08279177
4228;-92,39330734;-22,08253043
4229;-92,39194664;-22,08220522
4230;-92,39039804;-22,0818351
4231;-92,38880452;-22,08145423
4232;-92,3872228;-22,0810762
4233;-92,38560245;-22,08068892
4234;-92,38392527;-22,08028807
4235;-92,38225556;-22,079889
4236;-92,38063138;-22,07950081
4237;-92,3789887;-22,0791082
4238;-92,37730232;-22,07870514
4239;-92,37556951;-22,07829099
4240;-92,37380162;-22,07786846
4241;-92,37204509;-22,07744864
4242;-92,37033572;-22,07704009
4243;-92,36874238;-22,07665927
4244;-92,36733621;-22,07632319
4245;-92,36613553;-22,07603622
4246;-92,36509392;-22,07578727
4247;-92,36413883;-22,07555899
4248;-92,36328812;-22,07535567
4249;-92,3625414;-22,0751772
4250;-92,36178417;-22,07499622
4251;-92,36099726;-22,07480814
4252;-92,36025952;-22,07463182
4253;-92,35962492;-22,07448014
4254;-92,35915366;-22,07436751
4255;-92,35886655;-22,07429889
4256;-92,35866675;-22,07425114
4257;-92,35847759;-22,07420592
4258;-92,35827648;-22,07415786
4259;-92,35802866;-22,07409863
4260;-92,35768349;-22,07401613
4261;-92,35725932;-22,07391475
4262;-92,3568162;-22,07380884
4263;-92,35635318;-22,07369818
4264;-92,35588755;-22,07358689
4265;-92,35552303;-22,07349977
4266;-92,35529963;-22,07344637
4267;-92,35520263;-22,07342319
4268;-92,35522986;-22,0734297
4269;-92,35535198;-22,07345889
4270;-92,35550102;-22,07349451
4271;-92,35568751;-22,07353908
4272;-92,35586358;-22,07358116
4273;-92,35599461;-22,07361248
4274;-92,35612515;-22,07364368
4275;-92,35625258;-22,07367414
4276;-92,35633028;-22,07369271
4277;-92,35629806;-22,07368501
4278;-92,35612882;-22,07364455
4279;-92,35585839;-22,07357992
4280;-92,35542498;-22,07347633
4281;-92,35478175;-22,0733226
4282;-92,35391835;-22,07311624
4283;-92,35280561;-22,07285029
4284;-92,35143803;-22,07252343
4285;-92,34990018;-22,07215588
4286;-92,34827345;-22,07176708
4287;-92,34661173;-22,07136992
4288;-92,34494766;-22,07097219
4289;-92,3433292;-22,07058537
4290;-92,34177835;-22,07021471
4291;-92,34031896;-22,06986591
4292;-92,33900538;-22,06955196
4293;-92,33784218;-22,06927394
4294;-92,33679176;-22,06902289
4295;-92,33591973;-22,06881447
4296;-92,33521209;-22,06864534
4297;-92,33456292;-22,06849018
4298;-92,33395221;-22,06834422
4299;-92,3333728;-22,06820574
4300;-92,33281784;-22,0680731
4301;-92,33233696;-22,06795816
4302;-92,33200842;-22,06787964
4303;-92,3318224;-22,06783518
4304;-92,33173132;-22,06781341
4305;-92,33173263;-22,06781373
4306;-92,33177729;-22,0678244
4307;-92,33183592;-22,06783841
4308;-92,33193843;-22,06786291
4309;-92,33209418;-22,06790014
4310;-92,33224201;-22,06793547
4311;-92,33244701;-22,06798447
4312;-92,33284126;-22,0680787
4313;-92,33345158;-22,06822456
4314;-92,33429611;-22,06842641
4315;-92,3353722;-22,0686836
4316;-92,33660895;-22,06897919
4317;-92,33791932;-22,06929238
4318;-92,33928539;-22,06961888
4319;-92,34073784;-22,06996602
4320;-92,3422657;-22,07033119
4321;-92,34389117;-22,07071969
4322;-92,3455815;-22,07112368
4323;-92,34726635;-22,07152637
4324;-92,34885153;-22,07190524
4325;-92,3503506;-22,07226353
4326;-92,35175236;-22,07259856
4327;-92,35302637;-22,07290305
4328;-92,35417605;-22,07317783
4329;-92,35521022;-22,073425
4330;-92,35611943;-22,07364231
4331;-92,35695267;-22,07384146
4332;-92,35781297;-22,07404708
4333;-92,35875055;-22,07427116
4334;-92,3597081;-22,07450003
4335;-92,36066963;-22,07472984
4336;-92,36162429;-22,074958
4337;-92,36255491;-22,07518043
4338;-92,36348132;-22,07540184
4339;-92,36444427;-22,07563199
4340;-92,36534629;-22,07584758
4341;-92,36610773;-22,07602957
4342;-92,36674282;-22,07618136
4343;-92,36732657;-22,07632088
4344;-92,36793674;-22,07646672
4345;-92,36863692;-22,07663406
4346;-92,36938427;-22,07681268
4347;-92,37003797;-22,07696892
4348;-92,37051491;-22,07708291
4349;-92,37080835;-22,07715305
4350;-92,37089011;-22,07717259
4351;-92,37068172;-22,07712278
4352;-92,37018821;-22,07700483
4353;-92,36940572;-22,07681781
4354;-92,36837294;-22,07657097
4355;-92,36723502;-22,076299
4356;-92,36607687;-22,0760222
4357;-92,36484144;-22,07572692
4358;-92,36346489;-22,07539792
4359;-92,36192859;-22,07503073
4360;-92,36018459;-22,07461391
4361;-92,35821583;-22,07414336
4362;-92,35618895;-22,07365893
4363;-92,35420033;-22,07318364
4364;-92,35214462;-22,07269231
4365;-92,34993376;-22,0721639
4366;-92,34762838;-22,0716129
4367;-92,34526112;-22,07104711
4368;-92,34293301;-22,07049068
4369;-92,34074057;-22,06996668
4370;-92,3387017;-22,06947937
4371;-92,33683162;-22,06903242
4372;-92,33523113;-22,06864989
4373;-92,33385585;-22,06832119
4374;-92,33256648;-22,06801302
4375;-92,33123503;-22,0676948
4376;-92,32980019;-22,06735186
4377;-92,32816368;-22,06696073
4378;-92,32624924;-22,06650316
4379;-92,32423119;-22,06602084
4380;-92,32226823;-22,06555168
4381;-92,32026524;-22,06507295
4382;-92,31825608;-22,06459275
4383;-92,31626894;-22,06411782
4384;-92,31419861;-22,06362299
4385;-92,31198638;-22,06309426
4386;-92,30958474;-22,06252025
4387;-92,30683425;-22,06186287
4388;-92,30373769;-22,06112278
4389;-92,30045295;-22,0603377
4390;-92,29710334;-22,05953713
4391;-92,2937505;-22,05873578
4392;-92,29042477;-22,05794091
4393;-92,28718198;-22,05716587
4394;-92,28395228;-22,05639395
4395;-92,28067471;-22,05561059
4396;-92,27751278;-22,05485487
4397;-92,27446617;-22,05412671
4398;-92,27147877;-22,05341271
4399;-92,26859508;-22,05272349
4400;-92,26577534;-22,05204955
4401;-92,2629203;-22,05136718
4402;-92,26009311;-22,05069147
4403;-92,25735108;-22,05003611
4404;-92,25464057;-22,04938828
4405;-92,25198257;-22,048753
4406;-92,24943107;-22,04814318
4407;-92,24701777;-22,04756639
4408;-92,24480656;-22,0470379
4409;-92,24286538;-22,04657394
4410;-92,24114761;-22,04616339
4411;-92,23956157;-22,04578431
4412;-92,23815767;-22,04544877
4413;-92,23695257;-22,04516075
4414;-92,23589104;-22,04490704
4415;-92,23498536;-22,04469057
4416;-92,23438218;-22,04454641
4417;-92,23414246;-22,04448911
4418;-92,23417973;-22,04449802
4419;-92,23444596;-22,04456165
4420;-92,23489213;-22,04466829
4421;-92,23549596;-22,04481261
4422;-92,23624346;-22,04499127
4423;-92,23701481;-22,04517562
4424;-92,23771033;-22,04534186
4425;-92,23841254;-22,04550969
4426;-92,23921342;-22,0457011
4427;-92,24006612;-22,0459049
4428;-92,24090662;-22,04610579
4429;-92,2417095;-22,04629768
4430;-92,24248774;-22,04648369
4431;-92,24318528;-22,0466504
4432;-92,24381011;-22,04679974
4433;-92,24441255;-22,04694373
4434;-92,24497351;-22,0470778
4435;-92,24542209;-22,04718501
4436;-92,24574418;-22,04726199
4437;-92,24593128;-22,04730671
4438;-92,24605368;-22,04733597
4439;-92,24618162;-22,04736654
4440;-92,24631391;-22,04739816
4441;-92,246337;-22,04740368
4442;-92,24618465;-22,04736727
4443;-92,24584823;-22,04728686
4444;-92,2452646;-22,04714737
4445;-92,24438235;-22,04693651
4446;-92,24324738;-22,04666524
4447;-92,24179325;-22,0463177
4448;-92,24010357;-22,04591385
4449;-92,23836384;-22,04549805
4450;-92,23674837;-22,04511194
4451;-92,23528462;-22,0447621
4452;-92,23400059;-22,04445521
4453;-92,23290281;-22,04419283
4454;-92,23184431;-22,04393985
4455;-92,23066181;-22,04365722
4456;-92,22933548;-22,04334022
4457;-92,22784258;-22,04298341
4458;-92,22619826;-22,04259041
4459;-92,22456343;-22,04219967
4460;-92,22297159;-22,04181921
4461;-92,22135581;-22,04143303
4462;-92,21979879;-22,0410609
4463;-92,21815089;-22,04066704
4464;-92,2162552;-22,04021396
4465;-92,21413209;-22,03970652
4466;-92,21182288;-22,03915461
4467;-92,20931862;-22,03855608
4468;-92,20662556;-22,03791242
4469;-92,20391183;-22,03726382
4470;-92,20135779;-22,03665339
4471;-92,19900868;-22,03609194
4472;-92,19689884;-22,03558768
4473;-92,19502445;-22,03513969
4474;-92,19329509;-22,03472636
4475;-92,19176064;-22,03435962
4476;-92,19046611;-22,03405022
4477;-92,18942814;-22,03380214
4478;-92,18874669;-22,03363927
4479;-92,18843226;-22,03356411
4480;-92,18835881;-22,03354656
4481;-92,18841459;-22,03355989
4482;-92,18861909;-22,03360877
4483;-92,18905763;-22,03371358
4484;-92,18970034;-22,03386719
4485;-92,19042392;-22,03404013
4486;-92,19119358;-22,03422409
4487;-92,19200896;-22,03441897
4488;-92,19283072;-22,03461537
4489;-92,19367979;-22,03481831
4490;-92,19456724;-22,03503041
4491;-92,19556089;-22,0352679
4492;-92,19665645;-22,03552974
4493;-92,19783209;-22,03581073
4494;-92,19905178;-22,03610224
4495;-92,20029826;-22,03640016
4496;-92,20162554;-22,03671739
4497;-92,20295512;-22,03703516
4498;-92,20411414;-22,03731217
4499;-92,20510663;-22,03754939
4500;-92,20603418;-22,03777108
4501;-92,20698051;-22,03799725
4502;-92,20807517;-22,03825888
4503;-92,20938406;-22,03857172
4504;-92,21083499;-22,0389185
4505;-92,21235024;-22,03928065
4506;-92,2139093;-22,03965327
4507;-92,21542176;-22,04001476
4508;-92,21680113;-22,04034444
4509;-92,21806481;-22,04064646
4510;-92,21923566;-22,0409263
4511;-92,22027551;-22,04117484
4512;-92,22126103;-22,04141038
4513;-92,22229332;-22,0416571
4514;-92,22335287;-22,04191034
4515;-92,22438935;-22,04215807
4516;-92,22537352;-22,04239329
4517;-92,2262178;-22,04259508
4518;-92,22695681;-22,0427717
4519;-92,22774235;-22,04295945
4520;-92,22857605;-22,04315871
4521;-92,22928909;-22,04332913
4522;-92,22983312;-22,04345916
4523;-92,23029458;-22,04356945
4524;-92,23064509;-22,04365322
4525;-92,23082625;-22,04369652
4526;-92,2309058;-22,04371553
4527;-92,23086661;-22,04370617
4528;-92,23067188;-22,04365963
4529;-92,23042717;-22,04360114
4530;-92,23019467;-22,04354557
4531;-92,22989035;-22,04347284
4532;-92,22945065;-22,04336775
4533;-92,22889128;-22,04323405
4534;-92,22812632;-22,04305122
4535;-92,22713595;-22,04281452
4536;-92,22602981;-22,04255014
4537;-92,22486706;-22,04227224
4538;-92,22358868;-22,0419667
4539;-92,22221229;-22,04163774
4540;-92,22081132;-22,0413029
4541;-92,21937526;-22,04095967
4542;-92,21795745;-22,04062081
4543;-92,21662481;-22,0403023
4544;-92,21523178;-22,03996935
4545;-92,21366316;-22,03959445
4546;-92,21199083;-22,03919475
4547;-92,21034262;-22,03880082
4548;-92,20875683;-22,0384218
4549;-92,2072898;-22,03807118
4550;-92,20597058;-22,03775588
4551;-92,20475669;-22,03746575
4552;-92,20368565;-22,03720976
4553;-92,20276831;-22,03699051
4554;-92,20199289;-22,03680518
4555;-92,20138111;-22,03665896
4556;-92,20094813;-22,03655548
4557;-92,20058594;-22,03646891
4558;-92,20021705;-22,03638075
4559;-92,1999109;-22,03630758
4560;-92,19970608;-22,03625862
4561;-92,19952521;-22,03621539
4562;-92,19929317;-22,03615994
4563;-92,19893145;-22,03607348
4564;-92,19843418;-22,03595463
4565;-92,19788725;-22,03582391
4566;-92,1973511;-22,03569577
4567;-92,19677207;-22,03555738
4568;-92,19614181;-22,03540674
4569;-92,19553138;-22,03526085
4570;-92,19495409;-22,03512287
4571;-92,19430991;-22,03496891
4572;-92,19355389;-22,03478822
4573;-92,19267175;-22,03457738
4574;-92,19166695;-22,03433722
4575;-92,19061783;-22,03408648
4576;-92,18965672;-22,03385677
4577;-92,18878848;-22,03364926
4578;-92,1879685;-22,03345327
4579;-92,18713165;-22,03325326
4580;-92,18619578;-22,03302958
4581;-92,185165;-22,03278322
4582;-92,18413108;-22,03253611
4583;-92,18308624;-22,03228639
4584;-92,18196963;-22,03201951
4585;-92,18077436;-22,03173383
4586;-92,17959975;-22,0314531
4587;-92,17849046;-22,03118797
4588;-92,17745647;-22,03094084
4589;-92,17647624;-22,03070656
4590;-92,17544206;-22,03045938
4591;-92,17423135;-22,03017002
4592;-92,17283282;-22,02983576
4593;-92,17132232;-22,02947474
4594;-92,1697838;-22,02910703
4595;-92,16829912;-22,02875218
4596;-92,16687613;-22,02841208
4597;-92,16545896;-22,02807336
4598;-92,16405938;-22,02773886
4599;-92,16262939;-22,02739708
4600;-92,16107915;-22,02702657
4601;-92,15932134;-22,02660644
4602;-92,15734219;-22,02613341
4603;-92,15520795;-22,02562331
4604;-92,15295843;-22,02508567
4605;-92,1507072;-22,02454761
4606;-92,1486157;-22,02404773
4607;-92,14665368;-22,0235788
4608;-92,14474333;-22,02312221
4609;-92,14282874;-22,02266461
4610;-92,14085861;-22,02219374
4611;-92,13881418;-22,02170511
4612;-92,13677891;-22,02121867
4613;-92,13481985;-22,02075044
4614;-92,13297457;-22,02030941
4615;-92,13134;-22,01991874
