l4at56um-in-pool1pts-25deg-250rpm20/11/202208:07:50;;
Time (seconds);Raw Heat Rate (uJ / s);Raw Heat Rate (ucal / s)
171;-91,68410132;-21,91302613
172;-91,68612384;-21,91350952
173;-91,6883841;-21,91404974
174;-91,69088984;-21,91464862
175;-91,69357753;-21,915291
176;-91,69618889;-21,91591513
177;-91,69863196;-21,91649904
178;-91,70096917;-21,91705764
179;-91,70310714;-21,91756863
180;-91,7049482;-21,91800865
181;-91,70649192;-21,91837761
182;-91,70793951;-21,91872359
183;-91,70947075;-21,91908957
184;-91,7111044;-21,91948002
185;-91,71278092;-21,91988072
186;-91,71442262;-21,92027309
187;-91,71595978;-21,92064048
188;-91,71728914;-21,92095821
189;-91,71841755;-21,9212279
190;-91,71938572;-21,9214593
191;-91,7202888;-21,92167514
192;-91,72119525;-21,92189179
193;-91,72207786;-21,92210274
194;-91,72287432;-21,9222931
195;-91,72354249;-21,92245279
196;-91,72408529;-21,92258253
197;-91,72447138;-21,9226748
198;-91,72480227;-21,92275389
199;-91,72516408;-21,92284036
200;-91,72563679;-21,92295334
201;-91,7261628;-21,92307906
202;-91,72661491;-21,92318712
203;-91,7270523;-21,92329166
204;-91,72754976;-21,92341055
205;-91,72824965;-21,92357783
206;-91,72903579;-21,92376572
207;-91,729837;-21,92395722
208;-91,73069306;-21,92416182
209;-91,73172366;-21,92440814
210;-91,73294334;-21,92469965
211;-91,73433049;-21,92503119
212;-91,73597808;-21,92542497
213;-91,73780662;-21,925862
214;-91,73972279;-21,92631998
215;-91,74163784;-21,92677769
216;-91,74364099;-21,92725645
217;-91,74584084;-21,92778223
218;-91,74818796;-21,9283432
219;-91,75054623;-21,92890684
220;-91,75281357;-21,92944875
221;-91,75515708;-21,93000886
222;-91,75759627;-21,93059184
223;-91,76008802;-21,93118739
224;-91,76274277;-21,93182189
225;-91,76566407;-21,93252009
226;-91,76885561;-21,93328289
227;-91,77223129;-21,9340897
228;-91,7757074;-21,93492051
229;-91,77935883;-21,93579322
230;-91,78324604;-21,93672229
231;-91,7872997;-21,93769113
232;-91,79145427;-21,9386841
233;-91,79575407;-21,93971178
234;-91,80027378;-21,94079201
235;-91,80495895;-21,94191179
236;-91,80964424;-21,94303161
237;-91,81433702;-21,94415321
238;-91,81914346;-21,94530197
239;-91,82402365;-21,94646837
240;-91,82885131;-21,94762221
241;-91,83351631;-21,94873717
242;-91,83792101;-21,94978992
243;-91,84204926;-21,95077659
244;-91,84596305;-21,95171201
245;-91,84969385;-21,95260369
246;-91,85327168;-21,95345882
247;-91,85670138;-21,95427853
248;-91,85995789;-21,95505686
249;-91,86301711;-21,95578803
250;-91,8659349;-21,9564854
251;-91,86873178;-21,95715387
252;-91,87133838;-21,95777686
253;-91,87373819;-21,95835043
254;-91,87587929;-21,95886216
255;-91,87774747;-21,95930867
256;-91,87929823;-21,95967931
257;-91,88054038;-21,95997619
258;-91,88159922;-21,96022926
259;-91,88244998;-21,9604326
260;-91,88306863;-21,96058046
261;-91,88354396;-21,96069406
262;-91,88389618;-21,96077824
263;-91,88419767;-21,9608503
264;-91,88448894;-21,96091992
265;-91,88471757;-21,96097456
266;-91,88490337;-21,96101897
267;-91,88508218;-21,96106171
268;-91,88524399;-21,96110038
269;-91,88546465;-21,96115312
270;-91,88588886;-21,96125451
271;-91,88661681;-21,96142849
272;-91,88764549;-21,96167435
273;-91,88895948;-21,9619884
274;-91,89057316;-21,96237408
275;-91,89250292;-21,9628353
276;-91,89467581;-21,96335464
277;-91,89702748;-21,9639167
278;-91,89940501;-21,96448495
279;-91,90174672;-21,96504463
280;-91,90407403;-21,96560087
281;-91,90647976;-21,96617585
282;-91,90921988;-21,96683076
283;-91,9123685;-21,96758329
284;-91,91573251;-21,96838731
285;-91,91919541;-21,96921496
286;-91,92277682;-21,97007094
287;-91,92643855;-21,97094612
288;-91,93014706;-21,97183247
289;-91,93387281;-21,97272295
290;-91,93755017;-21,97360186
291;-91,94118314;-21,97447016
292;-91,9447805;-21,97532995
293;-91,94837188;-21,97618831
294;-91,95201346;-21,97705867
295;-91,95567824;-21,97793457
296;-91,95928764;-21,97879724
297;-91,96262218;-21,97959421
298;-91,9656075;-21,98030772
299;-91,968434;-21,98098327
300;-91,97121758;-21,98164856
301;-91,97395505;-21,98230283
302;-91,97668719;-21,98295583
303;-91,97932635;-21,9835866
304;-91,9818023;-21,98417837
305;-91,98409752;-21,98472694
306;-91,98623412;-21,9852376
307;-91,98832114;-21,98573641
308;-91,99043055;-21,98624057
309;-91,9925985;-21,98675872
310;-91,9948402;-21,9872945
311;-91,99712766;-21,98784122
312;-91,99940768;-21,98838616
313;-92,00162811;-21,98891685
314;-92,00378588;-21,98943257
315;-92,00594756;-21,98994923
316;-92,00811565;-21,99046741
317;-92,01034585;-21,99100044
318;-92,01261788;-21,99154347
319;-92,01484036;-21,99207466
320;-92,01707479;-21,9926087
321;-92,01936069;-21,99315504
322;-92,02175379;-21,99372701
323;-92,02425243;-21,99432419
324;-92,02682595;-21,99493928
325;-92,02950645;-21,99557993
326;-92,0322885;-21,99624486
327;-92,03518239;-21,99693652
328;-92,03815401;-21,99764675
329;-92,04099736;-21,99832633
330;-92,04361831;-21,99895275
331;-92,04621744;-21,99957396
332;-92,04885766;-22,00020499
333;-92,0516061;-22,00086188
334;-92,05457788;-22,00157215
335;-92,05775598;-22,00233173
336;-92,06112875;-22,00313785
337;-92,06455182;-22,00395598
338;-92,06796743;-22,00477233
339;-92,07132303;-22,00557434
340;-92,07456062;-22,00634814
341;-92,07774833;-22,00711002
342;-92,08092025;-22,00786813
343;-92,08410517;-22,00862934
344;-92,08753043;-22,009448
345;-92,09121526;-22,01032869
346;-92,09501869;-22,01123774
347;-92,09884839;-22,01215306
348;-92,10261551;-22,01305342
349;-92,10634906;-22,01394576
350;-92,11009627;-22,01484136
351;-92,11384923;-22,01573834
352;-92,11766356;-22,01664999
353;-92,12161603;-22,01759465
354;-92,12573862;-22,01857998
355;-92,13010285;-22,01962305
356;-92,13455812;-22,02068789
357;-92,1389577;-22,02173941
358;-92,14324397;-22,02276385
359;-92,14723486;-22,0237177
360;-92,15092577;-22,02459985
361;-92,1544471;-22,02544147
362;-92,15788524;-22,0262632
363;-92,16135514;-22,02709253
364;-92,16492846;-22,02794657
365;-92,16859728;-22,02882344
366;-92,17219179;-22,02968255
367;-92,17570807;-22,03052296
368;-92,17908948;-22,03133114
369;-92,18230829;-22,03210045
370;-92,18529474;-22,03281423
371;-92,18818981;-22,03350617
372;-92,19107391;-22,03419548
373;-92,19392629;-22,03487722
374;-92,19680949;-22,03556632
375;-92,19974409;-22,03626771
376;-92,20257578;-22,0369445
377;-92,20517933;-22,03756676
378;-92,20753816;-22,03813054
379;-92,20968374;-22,03864334
380;-92,21165585;-22,03911469
381;-92,21371168;-22,03960604
382;-92,2159256;-22,04013518
383;-92,21827079;-22,0406957
384;-92,22077087;-22,04129323
385;-92,2234056;-22,04192295
386;-92,22621908;-22,04259538
387;-92,22926526;-22,04332344
388;-92,23270087;-22,04414457
389;-92,2364984;-22,0450522
390;-92,24047715;-22,04600314
391;-92,24457672;-22,04698296
392;-92,24890145;-22,0480166
393;-92,25357731;-22,04913416
394;-92,25857427;-22,05032846
395;-92,26387192;-22,05159463
396;-92,26932704;-22,05289843
397;-92,27475671;-22,05419616
398;-92,28007627;-22,05546756
399;-92,2851576;-22,05668203
400;-92,29004176;-22,05784937
401;-92,29470333;-22,05896351
402;-92,29928757;-22,06005917
403;-92,30378345;-22,06113371
404;-92,30829662;-22,06221238
405;-92,31307435;-22,06335429
406;-92,31816434;-22,06457083
407;-92,3235342;-22,06585425
408;-92,329044;-22,06717113
409;-92,33472034;-22,06852781
410;-92,34056597;-22,06992495
411;-92,34652218;-22,07134851
412;-92,35267551;-22,0728192
413;-92,35916337;-22,07436983
414;-92,3660657;-22,07601953
415;-92,37338586;-22,07776909
416;-92,38106486;-22,07960441
417;-92,38894127;-22,08148692
418;-92,39695776;-22,08340291
419;-92,40502475;-22,08533096
420;-92,41294643;-22,08722429
421;-92,42072009;-22,08908224
422;-92,42837036;-22,0909107
423;-92,4359774;-22,09272882
424;-92,44344194;-22,09451289
425;-92,4507718;-22,09626477
426;-92,45802696;-22,09799879
427;-92,46518569;-22,09970977
428;-92,47228777;-22,10140721
429;-92,47939898;-22,10310683
430;-92,48650882;-22,10480612
431;-92,49362725;-22,10650747
432;-92,50070655;-22,10819946
433;-92,50767132;-22,10986408
434;-92,51456387;-22,11151144
435;-92,52156347;-22,11318439
436;-92,52873736;-22,11489899
437;-92,5359918;-22,11663284
438;-92,5431445;-22,11834238
439;-92,55027101;-22,12004565
440;-92,55731584;-22,12172941
441;-92,56423434;-22,12338297
442;-92,57108676;-22,12502074
443;-92,57782163;-22,12663041
444;-92,58427926;-22,12817382
445;-92,59038625;-22,12963342
446;-92,59613178;-22,13100664
447;-92,60156563;-22,13230536
448;-92,60673293;-22,13354038
449;-92,61174171;-22,1347375
450;-92,61654264;-22,13588495
451;-92,62108167;-22,13696981
452;-92,62543613;-22,13801055
453;-92,62974109;-22,13903946
454;-92,63394651;-22,14004458
455;-92,63812588;-22,14104347
456;-92,64232131;-22,1420462
457;-92,64650164;-22,14304532
458;-92,65064873;-22,1440365
459;-92,65484963;-22,14504054
460;-92,6590681;-22,14604878
461;-92,66331385;-22,14706354
462;-92,6676164;-22,14809187
463;-92,67199904;-22,14913935
464;-92,67641945;-22,15019585
465;-92,68084403;-22,15125335
466;-92,68525351;-22,15230724
467;-92,68964623;-22,15335713
468;-92,69405266;-22,15441029
469;-92,69842728;-22,15545585
470;-92,7026476;-22,15646453
471;-92,7066556;-22,15742247
472;-92,71047267;-22,15833477
473;-92,71418076;-22,15922102
474;-92,71795786;-22,16012377
475;-92,72203854;-22,16109908
476;-92,72641683;-22,16214551
477;-92,73095363;-22,16322983
478;-92,73558699;-22,16433723
479;-92,74026954;-22,16545639
480;-92,7449795;-22,1665821
481;-92,74979214;-22,16773235
482;-92,75480624;-22,16893075
483;-92,75996902;-22,17016468
484;-92,76527919;-22,17143384
485;-92,77082042;-22,17275823
486;-92,77659665;-22,17413878
487;-92,78250757;-22,17555152
488;-92,7885015;-22,17698411
489;-92,79457749;-22,1784363
490;-92,80076694;-22,17991562
491;-92,80699299;-22,18140368
492;-92,81329887;-22,18291082
493;-92,81966665;-22,18443276
494;-92,82601314;-22,1859496
495;-92,83233759;-22,18746118
496;-92,83862043;-22,18896282
497;-92,84471137;-22,19041859
498;-92,85065239;-22,19183853
499;-92,85649412;-22,19323473
500;-92,86225942;-22,19461267
501;-92,86806492;-22,19600022
502;-92,87395045;-22,19740689
503;-92,87985074;-22,1988171
504;-92,88570826;-22,20021708
505;-92,89137497;-22,20157146
506;-92,89682196;-22,20287332
507;-92,90211394;-22,20413813
508;-92,90743369;-22,20540958
509;-92,91287532;-22,20671016
510;-92,91841044;-22,20803309
511;-92,92405096;-22,20938121
512;-92,9298163;-22,21075915
513;-92,93556238;-22,2121325
514;-92,94116943;-22,21347262
515;-92,94663421;-22,21477873
516;-92,95195028;-22,2160493
517;-92,95721267;-22,21730704
518;-92,96253244;-22,2185785
519;-92,96791523;-22,21986502
520;-92,97331782;-22,22115627
521;-92,97871264;-22,22244566
522;-92,98402092;-22,22371437
523;-92,98910769;-22,22493014
524;-92,99392411;-22,22608129
525;-92,99849782;-22,22717443
526;-93,00281562;-22,22820641
527;-93,00696073;-22,22919712
528;-93,01117277;-22,23020382
529;-93,01553779;-22,23124708
530;-93,02002342;-22,23231917
531;-93,02467668;-22,23343133
532;-93,02934033;-22,23454597
533;-93,03387928;-22,2356308
534;-93,03823357;-22,2366715
535;-93,042451;-22,23767949
536;-93,04672317;-22,23870057
537;-93,05116291;-22,23976169
538;-93,05580466;-22,24087109
539;-93,06067373;-22,24203483
540;-93,0657441;-22,24324668
541;-93,07094004;-22,24448854
542;-93,07624975;-22,24575759
543;-93,08152236;-22,24701777
544;-93,08674646;-22,24826636
545;-93,0919812;-22,24951749
546;-93,0971693;-22,25075748
547;-93,10246251;-22,25202259
548;-93,10798765;-22,25334313
549;-93,1137401;-22,254718
550;-93,11970849;-22,25614448
551;-93,12581721;-22,2576045
552;-93,13205835;-22,25909616
553;-93,13838859;-22,26060913
554;-93,14474366;-22,26212803
555;-93,15113647;-22,26365594
556;-93,15760526;-22,26520202
557;-93,16409085;-22,26675212
558;-93,17046931;-22,2682766
559;-93,17673604;-22,26977439
560;-93,18284143;-22,27123361
561;-93,18883588;-22,27266632
562;-93,19466505;-22,27405952
563;-93,20023094;-22,2753898
564;-93,20554005;-22,27665871
565;-93,2106406;-22,27787777
566;-93,21559198;-22,27906118
567;-93,22033288;-22,28019428
568;-93,22490542;-22,28128715
569;-93,22940005;-22,28236139
570;-93,23395207;-22,28344935
571;-93,23856103;-22,28455092
572;-93,24319246;-22,28565785
573;-93,24795082;-22,28679513
574;-93,25280533;-22,28795538
575;-93,25770165;-22,28912563
576;-93,26261779;-22,29030062
577;-93,26750374;-22,29146839
578;-93,27239232;-22,29263679
579;-93,27735849;-22,29382373
580;-93,28237979;-22,29502385
581;-93,28752233;-22,29625295
582;-93,29288713;-22,29753517
583;-93,29847161;-22,29886989
584;-93,3042325;-22,30024677
585;-93,30991026;-22,30160379
586;-93,31540279;-22,30291654
587;-93,3207847;-22,30420284
588;-93,32606655;-22,30546524
589;-93,33132002;-22,30672085
590;-93,33662168;-22,30798797
591;-93,34195395;-22,30926242
592;-93,3474617;-22,3105788
593;-93,35314152;-22,31193631
594;-93,35880375;-22,31328962
595;-93,36444302;-22,31463743
596;-93,36997343;-22,31595923
597;-93,37528923;-22,31722974
598;-93,38038378;-22,31844737
599;-93,38529483;-22,31962113
600;-93,39017547;-22,32078764
601;-93,39520185;-22,32198897
602;-93,40055971;-22,32326953
603;-93,40631637;-22,3246454
604;-93,41239408;-22,32609801
605;-93,41879178;-22,3276271
606;-93,42551602;-22,32923423
607;-93,43227334;-22,33084927
608;-93,43896938;-22,33244966
609;-93,44580096;-22,33408245
610;-93,45285575;-22,33576858
611;-93,46005216;-22,33748857
612;-93,46747551;-22,33926279
613;-93,47522098;-22,341114
614;-93,48329286;-22,34304323
615;-93,4915817;-22,34502431
616;-93,5000106;-22,34703886
617;-93,5083682;-22,34903638
618;-93,51661964;-22,35100852
619;-93,52482637;-22,35296997
620;-93,53297468;-22,35491747
621;-93,54110083;-22,35685966
622;-93,54941495;-22,35884679
623;-93,55814412;-22,36093311
624;-93,56722878;-22,36310439
625;-93,57651399;-22,36532361
626;-93,58604013;-22,36760041
627;-93,5956866;-22,36990597
628;-93,60537536;-22,37222164
629;-93,61505811;-22,37453588
630;-93,62474173;-22,37685032
631;-93,63446932;-22,37917527
632;-93,64427478;-22,38151883
633;-93,65412185;-22,38387233
634;-93,66400013;-22,3862333
635;-93,67389211;-22,38859754
636;-93,68372448;-22,39094753
637;-93,69340628;-22,39326154
638;-93,70281148;-22,39550944
639;-93,71199191;-22,39770361
640;-93,72100176;-22,39985702
641;-93,72981069;-22,4019624
642;-93,73849507;-22,40403802
643;-93,74704086;-22,40608051
644;-93,75547877;-22,40809722
645;-93,76387949;-22,41010504
646;-93,77212198;-22,41207504
647;-93,78015861;-22,41399584
648;-93,78808698;-22,41589077
649;-93,79585257;-22,41774679
650;-93,80338889;-22,41954801
651;-93,81073908;-22,42130475
652;-93,81807077;-22,42305707
653;-93,82547024;-22,42482558
654;-93,8328273;-22,42658396
655;-93,84015656;-22,4283357
656;-93,84742258;-22,43007232
657;-93,85451186;-22,4317667
658;-93,86141352;-22,43341623
659;-93,8680409;-22,43500022
660;-93,87436206;-22,43651101
661;-93,8804575;-22,43796785
662;-93,88642039;-22,43939302
663;-93,89222525;-22,44078041
664;-93,89804722;-22,4421719
665;-93,90396736;-22,44358685
666;-93,90984459;-22,44499154
667;-93,91559202;-22,44636521
668;-93,92123707;-22,4477144
669;-93,92682083;-22,44904895
670;-93,93220531;-22,45033588
671;-93,93741533;-22,4515811
672;-93,94254861;-22,45280799
673;-93,94761063;-22,45401784
674;-93,95262795;-22,45521701
675;-93,95764523;-22,45641616
676;-93,96262916;-22,45760735
677;-93,96751603;-22,45877534
678;-93,97238763;-22,45993968
679;-93,9771928;-22,46108815
680;-93,9819016;-22,46221358
681;-93,98670381;-22,46336133
682;-93,9916249;-22,4645375
683;-93,99648582;-22,46569929
684;-94,00129039;-22,46684761
685;-94,0061709;-22,46801408
686;-94,01112926;-22,46919915
687;-94,01609452;-22,47038588
688;-94,02104392;-22,47156881
689;-94,02610788;-22,47277913
690;-94,03130033;-22,47402016
691;-94,036641;-22,47529661
692;-94,04211282;-22,4766044
693;-94,04759561;-22,47791482
694;-94,05298507;-22,47920293
695;-94,05823187;-22,48045695
696;-94,06327449;-22,48166216
697;-94,06814356;-22,4828259
698;-94,07290542;-22,48396401
699;-94,07756461;-22,48507758
700;-94,0820658;-22,48615339
701;-94,08644878;-22,48720095
702;-94,09088055;-22,48826017
703;-94,0953919;-22,48933841
704;-94,09984019;-22,49040158
705;-94,10418902;-22,49144097
706;-94,10844973;-22,4924593
707;-94,1126216;-22,4934564
708;-94,11667161;-22,49442438
709;-94,12060541;-22,49536458
710;-94,1244337;-22,49627956
711;-94,12812161;-22,497161
712;-94,13168117;-22,49801175
713;-94,13517375;-22,4988465
714;-94,13863532;-22,49967383
715;-94,14212985;-22,50050905
716;-94,14569197;-22,50136041
717;-94,14926627;-22,50221469
718;-94,15284843;-22,50307085
719;-94,15649134;-22,50394152
720;-94,1602536;-22,50484073
721;-94,16406146;-22,50575083
722;-94,16781329;-22,50664754
723;-94,17150806;-22,50753061
724;-94,17520918;-22,5084152
725;-94,17899808;-22,50932076
726;-94,18298233;-22,51027302
727;-94,18710667;-22,51125876
728;-94,19125875;-22,51225114
729;-94,19536421;-22,51323236
730;-94,19940172;-22,51419735
731;-94,20332799;-22,51513575
732;-94,20712559;-22,5160434
733;-94,21082224;-22,51692692
734;-94,21446178;-22,51779679
735;-94,21805561;-22,51865574
736;-94,22172887;-22,51953367
737;-94,22567653;-22,52047718
738;-94,22992742;-22,52149317
739;-94,23437329;-22,52255576
740;-94,23897859;-22,52365645
741;-94,24360681;-22,52476262
742;-94,24818938;-22,52585788
743;-94,25277606;-22,52695413
744;-94,25744195;-22,5280693
745;-94,26227481;-22,52922438
746;-94,26736157;-22,53044015
747;-94,27274294;-22,53172632
748;-94,27830549;-22,53305581
749;-94,28390741;-22,5343947
750;-94,28954629;-22,53574242
751;-94,29521499;-22,53709727
752;-94,3007508;-22,53842036
753;-94,30613212;-22,53970653
754;-94,31136937;-22,54095826
755;-94,31641057;-22,54216314
756;-94,3214395;-22,54336508
757;-94,32677253;-22,54463971
758;-94,33238664;-22,54598151
759;-94,3381344;-22,54735526
760;-94,34387351;-22,54872694
761;-94,34942817;-22,55005453
762;-94,35466237;-22,55130554
763;-94,35965209;-22,55249811
764;-94,36447245;-22,5536502
765;-94,36909347;-22,55475465
766;-94,37353987;-22,55581737
767;-94,37790701;-22,55686114
768;-94,3822182;-22,55789154
769;-94,38653848;-22,55892411
770;-94,39097273;-22,55998392
771;-94,3954775;-22,56106059
772;-94,39984605;-22,5621047
773;-94,4041804;-22,56314063
774;-94,40860588;-22,56419835
775;-94,41310475;-22,5652736
776;-94,41764025;-22,56635761
777;-94,42227686;-22,56746579
778;-94,42712069;-22,56862349
779;-94,4322011;-22,56983774
780;-94,43751033;-22,57110667
781;-94,4429078;-22,5723967
782;-94,44833109;-22,5736929
783;-94,45374782;-22,57498753
784;-94,45912972;-22,57627383
785;-94,46439805;-22,57753299
786;-94,46943286;-22,57873634
787;-94,47424399;-22,57988623
788;-94,4787417;-22,58096121
789;-94,48288933;-22,58195252
790;-94,48694156;-22,58292102
791;-94,49107745;-22,58390952
792;-94,49537445;-22,58493653
793;-94,49975521;-22,58598356
794;-94,50416512;-22,58703755
795;-94,50860616;-22,58809899
796;-94,51318137;-22,58919249
797;-94,51792412;-22,59032603
798;-94,52285227;-22,59150389
799;-94,52800671;-22,59273583
800;-94,53342533;-22,59403091
801;-94,53924777;-22,59542251
802;-94,54548185;-22,59691249
803;-94,55221214;-22,59852107
804;-94,55935445;-22,60022812
805;-94,56670306;-22,60198448
806;-94,57419998;-22,60377628
807;-94,58181648;-22,60559667
808;-94,58959275;-22,60745525
809;-94,59751757;-22,60934932
810;-94,60549391;-22,61125571
811;-94,61336737;-22,61313752
812;-94,62112108;-22,6149907
813;-94,62878893;-22,61682336
814;-94,63637714;-22,61863698
815;-94,64384661;-22,62042223
816;-94,65112359;-22,62216147
817;-94,65807913;-22,62382388
818;-94,66455014;-22,62537049
819;-94,67063763;-22,62682544
820;-94,67634151;-22,6281887
821;-94,68166157;-22,62946022
822;-94,68657621;-22,63063485
823;-94,6911092;-22,63171826
824;-94,69533029;-22,63272713
825;-94,69939449;-22,63369849
826;-94,70343745;-22,63466478
827;-94,70750214;-22,63563627
828;-94,71152328;-22,63659734
829;-94,71539382;-22,63752242
830;-94,71918216;-22,63842786
831;-94,72277606;-22,63928682
832;-94,72625134;-22,64011743
833;-94,72980127;-22,64096589
834;-94,7335004;-22,64185
835;-94,73729911;-22,64275791
836;-94,74113401;-22,64367448
837;-94,74500506;-22,64459968
838;-94,74889537;-22,64552949
839;-94,75286409;-22,64647803
840;-94,75688132;-22,64743817
841;-94,76091788;-22,64840294
842;-94,7649268;-22,64936109
843;-94,768862;-22,65030162
844;-94,77271579;-22,6512227
845;-94,77643153;-22,65211079
846;-94,78007345;-22,65298123
847;-94,78357089;-22,65381713
848;-94,78684851;-22,65460051
849;-94,78979534;-22,65530481
850;-94,79250325;-22,65595202
851;-94,7952186;-22,656601
852;-94,79804004;-22,65727534
853;-94,80094563;-22,6579698
854;-94,80394527;-22,65868673
855;-94,80711847;-22,65944514
856;-94,81052219;-22,66025865
857;-94,81417248;-22,66113109
858;-94,81821753;-22,66209788
859;-94,82267117;-22,66316233
860;-94,82750545;-22,66431775
861;-94,8326785;-22,66555413
862;-94,83817009;-22,66686666
863;-94,84384855;-22,66822384
864;-94,84977982;-22,66964145
865;-94,85600339;-22,67112892
866;-94,86236093;-22,6726484
