scan 820/11/202214:27:31		
temp(C)	power	time(seconds)
99,8653183	-568,5319214	7,132510662
99,75880432	-531,3607178	13,25005054
99,65712738	-419,7820129	19,37034607
99,55608368	-336,3556824	25,48405266
99,45519257	-269,5496826	31,59631157
99,35438538	-210,0712891	37,71286392
99,25354004	-156,6036224	43,83092117
99,15270996	-109,9717102	49,94834137
99,05196381	-70,82640839	56,05796432
98,9511795	-38,92987823	62,17192459
98,85031891	-13,57852173	68,28872681
98,74942017	6,030894279	74,40927124
98,64862061	20,77019501	80,51570129
98,54775238	31,57749748	86,63256073
98,44675446	39,39008331	92,75118256
98,34579468	44,79836273	98,86846161
98,24475861	48,35987091	104,9828796
98,14372253	50,54240799	111,1041031
98,04262543	51,60973358	117,2206879
97,94155884	51,89417648	123,3350601
97,84046173	51,58598328	129,4532013
97,739151	50,90452957	135,5795288
97,63789368	49,94269943	141,6999054
97,53652954	48,77215958	147,828598
97,43518066	47,47902679	153,953125
97,3337326	46,11634827	160,0818634
97,23221588	44,69953156	166,2134094
97,13076782	43,29566574	172,3391113
97,02928162	41,89395142	178,4669342
96,92791748	40,53181839	184,5836182
96,82654572	39,25088882	190,7019806
96,72518158	38,09553909	196,8164215
96,62379456	37,03279114	202,9332886
96,52246094	36,08161163	209,046936
96,4210434	35,32688522	215,1604767
96,31954193	34,70392609	221,2842407
96,21793365	33,99127579	227,4076996
96,11643219	33,19094467	233,5263367
96,01502228	32,30078125	239,6370697
95,91355896	31,44098663	245,7526703
95,81207275	30,57862854	251,8670959
95,71056366	29,73592567	257,9798889
95,60902405	28,92780495	264,0984192
95,50738525	28,11609077	270,2164917
95,40592957	27,36325073	276,3294067
95,30444336	26,67780685	282,4386902
95,20281219	26,04081345	288,5588074
95,10131836	25,42613602	294,6699829
94,99971008	24,76171684	300,7826843
94,89819336	24,22699165	306,8930969
94,79651642	23,70727539	313,0133667
94,69483185	23,17598343	319,1322327
94,5931015	22,67822456	325,2527161
94,49143219	22,22270203	331,3713684
94,38964844	21,78086281	337,4925537
94,28791809	21,34683037	343,6139526
94,18617249	20,93099403	349,7320862
94,0844574	20,5358181	355,8493958
93,98278809	20,14523315	361,9642639
93,88108063	19,77415466	368,0787354
93,77944183	19,42840004	374,1931458
93,6776886	19,10773849	380,3087463
93,57608795	18,77991486	386,4196167
93,47441101	18,44740486	392,5305481
93,37269592	18,18829155	398,6441956
93,27095795	17,92819023	404,7591248
93,16911316	17,65984154	410,8804626
93,06735992	17,38654709	416,9971619
92,96567535	17,12973785	423,1088562
92,86391449	16,89261246	429,2243652
92,76217651	16,6608696	435,339447
92,66042328	16,4447403	441,4549866
92,55863953	16,23314285	447,5689087
92,45684052	16,04631996	453,6844177
92,35505676	15,85712051	459,8000488
92,2532196	15,65164185	465,9176025
92,15128326	15,45997143	472,0425415
92,04944611	15,30671883	478,1601563
91,9475708	15,12461758	484,2796631
91,8456192	14,9616518	490,4048157
91,74380493	14,80079269	496,5179443
91,64187622	14,64560318	502,6420288
91,54009247	14,49580669	508,7557983
91,43820953	14,31901646	514,876709
91,33628082	14,16468716	520,9961548
91,23445892	13,99781799	527,1125488
91,13266754	13,84536266	533,2242432
91,03088379	13,7093935	539,3364258
90,92910004	13,5973587	545,4493408
90,82719421	13,47773647	551,5692749
90,72523499	13,34733391	557,6933594
90,62330627	13,23137188	563,8118286
90,52140808	13,11634064	569,9310913
90,41954041	13,01058006	576,0462646
90,31774139	12,91126251	582,15802
90,2158432	12,83370686	588,2796021
90,11391449	12,74721909	594,3946533
90,01202393	12,62965488	600,5162354
89,91007996	12,52507973	606,6325073
89,80821228	12,41675568	612,7514038
89,70624542	12,31410122	618,8717041
89,60437775	12,21565056	624,9888306
89,50241089	12,09952259	631,1082764
89,4005661	12,00853825	637,2225952
89,29860687	11,92703152	643,3441772
89,19657898	11,82609844	649,468811
89,09457397	11,72399521	655,5906372
88,99269867	11,64560509	661,7052002
88,89080048	11,58302593	667,8240356
88,78884888	11,48845005	673,9430542
88,68692017	11,38990211	680,0650024
88,58495331	11,29228497	686,1810913
88,48305511	11,22124004	692,2972412
88,38117218	11,10784245	698,4107666
88,27931976	11,00081062	704,5246582
88,17747498	10,92723274	710,6389771
88,07563782	10,86120319	716,7518311
87,97364044	10,74474621	722,8755493
87,87171173	10,6586771	728,9917603
87,76971436	10,57929325	735,1134033
87,66784668	10,49346256	741,2271118
87,56598663	10,41407108	747,3392334
87,46412659	10,3625803	753,4506226
87,36220551	10,3313036	759,571228
87,26033783	10,27503777	765,6830444
87,15850067	10,2069025	771,7945557
87,05662537	10,13743019	777,9067993
86,95469666	10,08061028	784,0272827
86,85279846	10,02880287	790,1402588
86,75093079	9,973789215	796,2529907
86,64904022	9,892235756	802,368042
86,54727173	9,822479248	808,4751587
86,44536591	9,750417709	814,5933228
86,34347534	9,696253777	820,7070313
86,24158478	9,619848251	826,8201904
86,13961029	9,541697502	832,9423218
86,03775024	9,447528839	839,0545654
85,93588257	9,374045372	845,1661987
85,83401489	9,315767288	851,2780762
85,73210907	9,241559029	857,3961182
85,63011169	9,181127548	863,5133667
85,5281601	9,12573719	869,6355591
85,42614746	9,067389488	875,7561646
85,32424927	9,014593124	881,8724976
85,22225952	8,949934006	887,9916382
85,12030029	8,908261299	894,1105957
85,01828003	8,85804081	900,2319336
84,91625977	8,784667969	906,3519287
84,81439209	8,659010887	912,4674683
84,71244049	8,541074753	918,583252
84,61042786	8,444818497	924,7053223
84,50849915	8,365026474	930,8203125
84,40664673	8,283937454	936,9312744
