scan 505/12/202208:57:21		
temp(degC)	power	time(seconds)
5,154082775	401,6761169	8,160369873
5,256220341	349,0584717	14,27917576
5,357254505	281,7457581	20,39620018
5,458202362	231,8641205	26,52527237
5,558979511	191,0844269	32,63955688
5,659729958	155,0211639	38,7590065
5,760506153	123,131218	44,88095856
5,861339569	95,63808441	51,00553513
5,962112904	72,60577393	57,1218338
6,062811375	53,79372787	63,23555756
6,163678646	38,74760818	69,35739899
6,264500141	26,95935822	75,47454834
6,365375042	17,79506493	81,59244537
6,466204643	10,79800415	87,70469666
6,56720829	5,503901482	93,82506561
6,668170452	1,627250671	99,9413147
6,769184589	-1,229862928	106,0591965
6,870349407	-3,286948442	112,1821289
6,971458435	-4,689708233	118,3015823
7,072577	-5,657244205	124,4152756
7,173820019	-6,265729904	130,5394135
7,274990082	-6,639139652	136,6553497
7,376245022	-6,786105156	142,774765
7,477525711	-6,830868721	148,8952332
7,578836441	-6,764358997	155,0126038
7,680136681	-6,626121521	161,1299896
7,781443596	-6,439616203	167,2479706
7,882941723	-6,250477314	173,3735352
7,984307766	-6,025775909	179,4871368
8,085731506	-5,807074547	185,6091156
8,187220573	-5,522761345	191,7267914
8,28865242	-5,293904781	197,8466187
8,390229225	-5,080352306	203,9708405
8,491714478	-4,891380787	210,0865784
8,593372345	-4,718481541	216,2135773
8,694905281	-4,546328068	222,3307495
8,796479225	-4,398930073	228,4511719
8,897960663	-4,256873608	234,5640717
8,999567986	-4,102046967	240,6846924
9,10124588	-3,966168642	246,8063354
9,202853203	-3,84429884	252,9233856
9,304445267	-3,738989353	259,0420227
9,406060219	-3,632481813	265,1566467
9,507699966	-3,529239178	271,2752991
9,609352112	-3,448471546	277,3917236
9,711151123	-3,368443966	283,5198059
9,813038826	-3,29764986	289,647644
9,914731026	-3,235623837	295,7651978
10,01639938	-3,184132099	301,8829956
10,1182003	-3,141215324	308,0075989
10,21996117	-3,109118938	314,1255798
10,32164097	-3,085546494	320,2406311
10,42353344	-3,059229136	326,3683167
10,52537537	-3,021594763	332,4916382
10,62723064	-2,968883753	338,6142273
10,72902107	-2,919419765	344,7340393
10,83087635	-2,859985352	350,8554688
10,93263626	-2,794260025	356,9724121
11,0345335	-2,728382111	363,0978699
11,13646317	-2,661812305	369,2228394
11,23827648	-2,594250679	375,3407288
11,3401556	-2,526575089	381,462677
11,44207764	-2,458547831	387,5883484
11,54388905	-2,395160675	393,7047424
11,64568901	-2,317760468	399,8208923
11,74759388	-2,260708809	405,9447327
11,84942627	-2,210258722	412,0621338
11,95138073	-2,161542892	418,1837463
12,05319595	-2,095085621	424,3007813
12,15521908	-2,034301996	430,4277954
12,25708485	-1,989587665	436,5489807
12,35893822	-1,953763962	442,6643982
12,46078777	-1,912374496	448,7807312
12,56264782	-1,870613933	454,9002075
12,66460991	-1,82409966	461,0223083
12,76655388	-1,775987983	467,1455383
12,8684454	-1,730790138	473,2616882
12,97039509	-1,699218392	479,3867188
13,07233524	-1,667606592	485,5061951
13,17413235	-1,635879517	491,6204834
13,27601242	-1,60593307	497,7362671
13,37789631	-1,57734406	503,8534546
13,47997093	-1,552111149	509,9833069
13,58187485	-1,519282103	516,0998535
13,68387222	-1,478345752	522,2227783
13,7857275	-1,442188501	528,3364868
13,88770676	-1,422918081	534,4606323
