scan 705/12/202208:57:21		
temp(degC)	power	time(seconds)
5,153949261	401,6937256	8,161242485
5,256103516	349,1031189	14,28012466
5,357173443	281,8269043	20,39802742
5,458143711	232,006424	26,52401543
5,558923721	191,2900238	32,64465332
5,659642696	155,2601013	38,75841904
5,760428429	123,3578186	44,88129807
5,861183167	95,89735413	51,0007782
5,962053299	72,85370636	57,12339401
6,062824249	54,04265594	63,24203873
6,163715839	38,98703766	69,36355591
6,264522076	27,17071342	75,4801712
6,365372181	18,00995827	81,59443665
6,466292858	10,99065304	87,71561432
6,567231655	5,745250225	93,83107758
6,668196678	1,869755149	99,94633484
6,769249916	-0,974383891	106,0661316
6,870326042	-3,041760445	112,1840286
6,971391678	-4,470553875	118,3001022
7,072519779	-5,412772179	124,4172897
7,173812389	-6,030837059	130,5422668
7,27499342	-6,388636589	136,6572266
7,376195431	-6,523794174	142,7733459
7,477371693	-6,566853046	148,8862762
7,578638554	-6,521891117	155,0023956
7,679940701	-6,398244381	161,1202393
7,781259537	-6,208296299	167,2355042
7,882647514	-5,988102436	173,3553772
7,984008789	-5,767596722	179,4699097
8,085435867	-5,528567314	185,5920258
8,18691349	-5,258066654	191,7122803
8,288427353	-5,013448238	197,8336945
8,390010834	-4,814890385	203,9581757
8,491635323	-4,616341114	210,0826416
8,593099594	-4,44034481	216,1963654
8,694613457	-4,259294987	222,3151703
8,7961483	-4,104808331	228,4301453
8,897703171	-3,933484077	234,5505829
8,999363899	-3,782966375	240,6709137
9,101037979	-3,660181046	246,7949677
9,20266819	-3,548491001	252,9125977
9,304349899	-3,442823887	259,034668
9,405986786	-3,338060617	265,1558838
9,507652283	-3,24126339	271,2713013
9,609358788	-3,157655001	277,3930969
9,711033821	-3,072525501	283,5104675
9,812803268	-2,996336937	289,6318054
9,914451599	-2,931101561	295,7518311
10,01615334	-2,882192135	301,8656311
10,11789036	-2,843879461	307,9847412
10,21957016	-2,813432693	314,1015625
10,32126141	-2,789010525	320,2146301
10,42304516	-2,755877018	326,3367004
10,52488136	-2,70993495	332,4592896
10,62671947	-2,65981102	338,5783997
10,72847271	-2,609478951	344,7003479
10,83025169	-2,547937155	350,8174744
10,93207359	-2,483372688	356,9388733
11,03390217	-2,412403345	363,059845
11,13579655	-2,350006819	369,1824036
11,23767567	-2,289141178	375,3030701
11,33943081	-2,222706079	381,4202881
11,44140339	-2,143856049	387,5472107
11,54324722	-2,077724695	393,6646423
11,64505959	-2,020643711	399,783844
11,74696732	-1,956486464	405,9054871
11,84878349	-1,905147314	412,0228577
11,95063114	-1,85488975	418,1391602
12,0524416	-1,788162827	424,255188
12,15435028	-1,733637094	430,3757324
12,25623798	-1,683853388	436,4986267
12,35819626	-1,649564624	442,6201477
12,46012115	-1,606063128	448,7415161
12,56206131	-1,570554376	454,8655396
12,66388798	-1,519452333	460,9793396
12,76585293	-1,480039954	467,1021729
12,86777496	-1,437275052	473,2250366
12,96964359	-1,387244582	479,3398743
13,07158089	-1,350375056	485,4624939
13,17348957	-1,323330045	491,5787659
13,27547646	-1,295141697	497,7023926
13,37744045	-1,255924463	503,8265381
13,47941685	-1,228096962	509,9493713
13,58132172	-1,202139854	516,0673828
13,68326664	-1,166146517	522,1871338
13,78528023	-1,13988018	528,3137817
13,88716316	-1,115382671	534,4273682
13,9891634	-1,08926487	540,5516357
14,09112167	-1,06349349	546,6751099
14,19305992	-1,043425322	552,791626
14,29496002	-1,02756989	558,90802
14,39687538	-0,996692061	565,0267334
14,49890327	-0,963886797	571,1546631
14,60087013	-0,943637252	577,2728271
14,70286179	-0,929778695	583,3945313
14,80482101	-0,914987504	589,5146484
14,90669155	-0,896044016	595,6300049
15,00861931	-0,887521148	601,7489014
15,1105957	-0,878737926	607,8677368
15,21258736	-0,86059159	613,9884033
15,31447887	-0,83731252	620,1032104
15,41647911	-0,822839558	626,2263184
15,51839256	-0,806642473	632,3442383
15,62032986	-0,791473746	638,4619751
15,72240353	-0,777196288	644,5878906
15,82436371	-0,769675672	650,7061157
15,92630863	-0,755080879	656,8244629
16,028368	-0,734301805	662,9501343
16,13045692	-0,712831736	669,0776978
16,23238564	-0,704381764	675,1925049
16,33430672	-0,696014047	681,3113403
16,43623924	-0,683442235	687,4267578
16,53824234	-0,674609482	693,5479126
16,64021111	-0,668536901	699,6671753
16,742136	-0,656416178	705,7854614
16,84416389	-0,641338587	711,9063721
16,94621849	-0,634713173	718,032959
17,04812622	-0,619122207	724,1462402
17,15006065	-0,6035586	730,2628174
17,25201416	-0,596497774	736,3816528
17,35406685	-0,591862559	742,5042725
17,45600319	-0,587916255	748,6235352
17,55794907	-0,573203266	754,7385864
17,65987396	-0,558852434	760,857666
17,76193237	-0,547679782	766,9822388
17,86404419	-0,540601611	773,1080322
17,96598434	-0,533676207	779,2243042
18,06794548	-0,523582816	785,3458252
18,16988945	-0,515299439	791,4578857
18,27187347	-0,506474793	797,578064
18,37389946	-0,497922659	803,6983032
18,4758091	-0,493684173	809,8171387
