1pts-51um-l8-7.7um-25deg-150rpm24/11/202208:42:41	
Time (seconds)	Raw Heat Rate (uJ / s)
350	-93,51962086
351	-93,5263009
352	-93,53310442
353	-93,54006575
354	-93,54702948
355	-93,55383669
356	-93,56054182
357	-93,56730815
358	-93,57423269
359	-93,58132158
360	-93,58843077
361	-93,59556791
362	-93,60271923
363	-93,6098967
364	-93,61704184
365	-93,62395463
366	-93,63069051
367	-93,63727477
368	-93,6436672
369	-93,65004231
370	-93,65649441
371	-93,66302798
372	-93,66958669
373	-93,67612381
374	-93,68265282
375	-93,68923501
376	-93,69580536
377	-93,70223759
378	-93,70842939
379	-93,71441864
380	-93,72042661
381	-93,72650089
382	-93,73258114
383	-93,73869986
384	-93,74484127
385	-93,7509248
386	-93,75688966
387	-93,76269514
388	-93,76826817
389	-93,77354467
390	-93,77864158
391	-93,78370159
392	-93,78889828
393	-93,79430235
394	-93,79986994
395	-93,80543794
396	-93,81085049
397	-93,81618082
398	-93,82147421
399	-93,82667086
400	-93,83180414
401	-93,83683077
402	-93,84172887
403	-93,84653059
404	-93,85128422
405	-93,85593632
406	-93,86042756
407	-93,86472408
408	-93,8688912
409	-93,87303236
410	-93,87716396
411	-93,8813588
412	-93,8856302
413	-93,88993995
414	-93,89422945
415	-93,89842158
416	-93,90263078
417	-93,90704134
418	-93,91176289
419	-93,91684637
420	-93,92215092
421	-93,92764244
422	-93,93326925
423	-93,93895025
424	-93,94464613
425	-93,95032254
426	-93,95585005
427	-93,96117904
428	-93,96643249
429	-93,97178755
430	-93,97747449
431	-93,98342124
432	-93,98934333
433	-93,99504287
434	-94,00038852
435	-94,00548735
436	-94,01046351
437	-94,01537786
438	-94,0203843
439	-94,02551965
440	-94,03076612
441	-94,03631461
442	-94,04216366
443	-94,04812632
444	-94,05414117
445	-94,06008327
446	-94,06593085
447	-94,07178432
448	-94,07778081
449	-94,0840727
450	-94,09069979
451	-94,09762392
452	-94,1048207
453	-94,11212903
454	-94,11937145
455	-94,12663717
456	-94,13383994
457	-94,14101971
458	-94,14827096
459	-94,15554986
460	-94,16280262
461	-94,1700033
462	-94,17724151
463	-94,18443429
464	-94,19144203
465	-94,19819217
466	-94,20460375
467	-94,21066402
468	-94,21650801
469	-94,22227739
470	-94,22792629
471	-94,23351952
472	-94,23904283
473	-94,24451824
474	-94,24995133
475	-94,25534338
476	-94,26076718
477	-94,26612808
478	-94,27143753
479	-94,27676582
480	-94,28208111
481	-94,28744213
482	-94,29293902
483	-94,29854609
484	-94,30422893
485	-94,31001761
486	-94,31589601
487	-94,32185832
488	-94,32788011
489	-94,33399948
490	-94,34024761
491	-94,34664156
492	-94,35311759
493	-94,35971349
494	-94,3664077
495	-94,37322576
496	-94,38013521
497	-94,38691064
498	-94,39349125
499	-94,39994068
500	-94,40630679
501	-94,41257735
502	-94,41868592
503	-94,42464598
504	-94,43055201
505	-94,43640156
506	-94,44209143
507	-94,44772935
508	-94,4532357
509	-94,45852996
510	-94,4636045
511	-94,46843825
512	-94,47317396
513	-94,4778697
514	-94,48246892
515	-94,48692682
516	-94,49131838
517	-94,49574382
518	-94,50022258
519	-94,50468783
520	-94,50908107
521	-94,51337856
522	-94,51747132
523	-94,52134432
524	-94,52510605
525	-94,5288934
526	-94,53283681
527	-94,53692962
528	-94,54109996
529	-94,54526228
530	-94,54937857
531	-94,55337713
532	-94,55723308
533	-94,56088726
534	-94,5642617
535	-94,5673957
536	-94,57040105
537	-94,57339881
538	-94,57649407
539	-94,57973058
540	-94,58300081
541	-94,58615366
542	-94,58914754
543	-94,59204891
544	-94,59504638
545	-94,59819218
546	-94,60145068
547	-94,60480125
548	-94,60823772
549	-94,61169884
550	-94,61519862
551	-94,61873374
552	-94,62229089
553	-94,62581868
554	-94,62928201
555	-94,63265219
556	-94,63594525
557	-94,63924695
558	-94,64256021
559	-94,64578396
560	-94,64894715
561	-94,6520589
562	-94,65512761
563	-94,65823562
564	-94,66149461
565	-94,66496994
566	-94,66872416
567	-94,67275319
568	-94,67695318
