scan 920/11/202208:13:50		
temp(C)	power	time(seconds)
5,136320114	394,9571228	7,131008625
5,239279747	363,4824524	13,25101948
5,340319633	293,3579102	19,36532402
5,441092968	240,6298218	25,4797554
5,541873932	198,2779083	31,59545517
5,642585754	161,2431793	37,71153259
5,743268967	128,5773315	43,83005905
5,844018459	100,3626785	49,94706345
5,944770336	76,71588135	56,06607056
6,04554224	57,27872086	62,17906952
6,146199226	41,76693726	68,29082489
6,246952534	29,54700661	74,40373993
6,347844601	20,0524292	80,52198792
6,448846817	12,79381561	86,64607239
6,54975462	7,33268404	92,76049042
6,650657177	3,262552023	98,87327576
6,751708984	0,28101474	104,9944077
6,852818012	-1,888796926	111,1114578
6,953885555	-3,393833399	117,2300568
7,05497694	-4,444946766	123,3439865
7,156173706	-5,10472393	129,4654999
7,257259846	-5,528157234	135,5772247
7,35855341	-5,725178719	141,6974945
7,459771633	-5,771478653	147,8138275
7,560989857	-5,742026329	153,9268494
7,662338734	-5,665382385	160,0459137
7,76352644	-5,500657082	166,1543274
7,86475563	-5,346552372	172,2658691
7,96615839	-5,145448685	178,3827057
8,067617416	-4,965427399	184,5050049
8,168934822	-4,729290485	190,6145782
8,270256996	-4,490016937	196,7242279
8,371655464	-4,295896053	202,8387299
8,473049164	-4,128696442	208,9496002
8,57453537	-3,960801363	215,0665283
8,675976753	-3,805903673	221,1828461
8,777492523	-3,670020103	227,2958221
8,879094124	-3,543392658	233,4149017
8,980625153	-3,40108943	239,531189
9,08220768	-3,285728455	245,6493225
9,18376255	-3,164396524	251,7626801
9,285217285	-3,068610668	257,8727417
9,386843681	-2,973683119	263,9883423
9,488451958	-2,88736248	270,1059265
9,59011364	-2,81182766	276,2236938
9,691670418	-2,728738546	282,3339539
9,7932024	-2,655748606	288,443634
9,894884109	-2,593560457	294,5593262
9,996582985	-2,542545557	300,678894
10,09832478	-2,503590584	306,7993774
10,20001507	-2,469186068	312,9161987
10,30167294	-2,437164068	319,027771
10,40335751	-2,41332984	325,1459656
10,50510883	-2,391857862	331,259613
10,60671806	-2,365097523	337,3716431
10,70851326	-2,329054356	343,4880676
10,81026173	-2,291509151	349,6046143
10,91204357	-2,25091958	355,7216187
11,01376629	-2,207215309	361,8377686
11,1154213	-2,163151264	367,9449768
11,21715546	-2,116075754	374,062439
11,31902409	-2,061551809	380,1815491
11,42068958	-2,0034554	386,2896118
11,5224514	-1,961522341	392,4049988
11,62431526	-1,91000843	398,5262146
11,72608566	-1,856892228	404,6405945
11,82790089	-1,818154454	410,7591858
11,92976665	-1,78543961	416,8736267
12,03146839	-1,739556909	422,9856262
12,13330364	-1,69302845	429,1039734
12,23513699	-1,654265881	435,2176514
12,33692265	-1,620270848	441,3327026
12,43869972	-1,596843839	447,4455872
12,54041767	-1,568664908	453,5540771
12,64221859	-1,537553072	459,6685486
12,74407387	-1,514172673	465,7824402
12,84589958	-1,480778098	471,8999939
12,94779587	-1,454200029	478,0189819
13,04964542	-1,421466708	484,1333618
13,15147972	-1,407567263	490,2484131
13,25336456	-1,382423401	496,3659668
13,35530186	-1,35734117	502,4886475
13,45712376	-1,335245252	508,6012573
13,5589962	-1,317234874	514,7148438
13,66085052	-1,288110018	520,8325195
13,76272774	-1,270000815	526,9475098
13,86462975	-1,254722357	533,0656738
13,96652603	-1,242088675	539,1846924
14,06838703	-1,228962541	545,2957153
14,17014122	-1,224830866	551,4047241
14,27213001	-1,215652108	557,5297241
14,37397385	-1,19389677	563,6412354
14,47594738	-1,177321315	569,7627563
14,57775116	-1,165902734	575,8735962
14,67959023	-1,161942244	581,9862671
14,78147507	-1,156580567	588,1015015
14,88326645	-1,148139	594,2123413
14,98506546	-1,141500831	600,3215942
15,08695221	-1,137238383	606,4368896
15,18882179	-1,123430967	612,5531616
15,29068089	-1,111328006	618,664856
15,39259624	-1,108800054	624,7819214
15,49444866	-1,10710144	630,8959351
15,59630775	-1,104494929	637,0097046
15,6981144	-1,10567987	643,1193848
15,80000019	-1,100486636	649,2310181
15,90185547	-1,094820023	655,3469849
16,00364685	-1,083462358	661,4563599
16,10556984	-1,075783968	667,5739746
16,20743179	-1,075524092	673,6855469
16,30935478	-1,070987344	679,8013306
16,41118813	-1,063610673	685,9130249
16,51314735	-1,057328343	692,0330811
16,61502647	-1,052258015	698,1464233
16,71699333	-1,043530941	704,2650146
16,81883049	-1,037929296	710,3781128
16,92084694	-1,035960674	716,5003662
17,02278709	-1,035367012	722,6140747
17,1247406	-1,032749772	728,7324829
17,22665977	-1,034417748	734,8499146
17,32842255	-1,037492514	740,9537964
17,4303627	-1,040904284	747,0712891
17,53236961	-1,039665937	753,1940308
17,63433647	-1,040582895	759,309082
17,73633575	-1,042887092	765,4327393
17,83827972	-1,044730186	771,5464478
17,94007683	-1,046717644	777,6560059
18,04199219	-1,051032662	783,7698364
18,14384651	-1,06026113	789,8814697
18,2455883	-1,073759794	795,9863892
18,3474865	-1,081502318	802,1015015
18,44935989	-1,085529089	808,2144165
18,55132866	-1,096880317	814,3325806
18,65333176	-1,11635828	820,4534302
18,75524139	-1,128291965	826,5671997
18,85711288	-1,145416021	832,678833
18,95905304	-1,15575099	838,7949219
19,06084633	-1,165561318	844,9054565
19,16289711	-1,1801759	851,0279541
19,26482201	-1,197341442	857,1453857
19,36665726	-1,224731565	863,2537842
19,46851921	-1,237209558	869,3679199
19,5703907	-1,249455214	875,4796753
19,67227173	-1,262303233	881,5905762
19,77411842	-1,269731879	887,7016602
19,87608719	-1,270913363	893,821228
19,97800446	-1,273328543	899,937561
20,07995605	-1,278369904	906,0566406
20,1818943	-1,286934733	912,1707764
20,28369713	-1,293078661	918,2790527
20,38549995	-1,299072504	924,3874512
20,48749542	-1,309674859	930,5098877
20,58940887	-1,321522951	936,6240845
20,6913662	-1,32679081	942,7391968
20,79319763	-1,329089522	948,850708
20,89505196	-1,333002567	954,9610596
20,99693489	-1,344503522	961,0736694
21,09885216	-1,366623521	967,1902466
21,20067024	-1,390984058	973,3006592
21,3026371	-1,406726718	979,4161987
21,40447998	-1,410923839	985,5293579
21,50637817	-1,407985926	991,642395
21,60835457	-1,410786271	997,7612305
21,71018219	-1,425583601	1003,871521
21,81204987	-1,431058168	1009,982422
21,91380882	-1,435763955	1016,09082
22,01581383	-1,446798205	1022,208496
22,11779022	-1,456264496	1028,327393
22,21975136	-1,459115744	1034,44519
22,32159615	-1,457632303	1040,556885
22,42352867	-1,457179546	1046,672974
22,52549934	-1,458670139	1052,79248
22,62743187	-1,459151864	1058,910278
22,72937965	-1,462554097	1065,022583
22,83124924	-1,464470744	1071,13855
22,9331398	-1,462692976	1077,251343
23,03507996	-1,458608508	1083,368774
23,13706017	-1,458232164	1089,487915
23,23904228	-1,457293034	1095,604614
23,34091759	-1,456347942	1101,715698
23,4426136	-1,455765963	1107,816284
23,54455185	-1,455262423	1113,937866
23,6464386	-1,455683827	1120,04834
23,7483654	-1,456869483	1126,163696
23,85019684	-1,45620501	1132,276489
23,95211983	-1,455001831	1138,390869
24,0541687	-1,455486178	1144,514282
24,15587234	-1,455551744	1150,614502
24,25779343	-1,453507662	1156,731079
24,35973549	-1,452594519	1162,848145
