scan 1320/11/202208:13:50						
temp(C)	power	time(seconds)				
5,136255741	395,2107544	7,137209892				
5,239131451	363,5820923	13,25265026				
5,340191364	293,3374023	19,36715317				
5,441063881	240,4904022	25,48333549				
5,541889668	198,1388245	31,60625839				
5,642554283	161,1121521	37,71878433				
5,743267059	128,4115906	43,83283615				
5,843968391	100,1632919	49,95000076				
5,944630623	76,46199799	56,06091309				
6,045354366	57,02620316	62,1712265				
6,146118641	41,49859619	68,28850555				
6,246918201	29,25215149	74,40576935				
6,347717285	19,7620697	80,51686096				
6,44855547	12,47686958	86,62910461				
6,549471855	7,007061958	92,74627686				
6,650514603	2,928484201	98,86743164				
6,751548767	-0,072308496	104,9852905				
6,852609634	-2,245068073	111,1022797				
6,953871727	-3,781597614	117,228508				
7,054965019	-4,833044052	123,3446198				
7,156125069	-5,510911942	129,4631958				
7,257356644	-5,927484989	135,5827332				
7,358499527	-6,120584488	141,6950836				
7,459765911	-6,185796261	147,8106995				
7,561032295	-6,149900913	153,9304657				
7,662289619	-6,0610466	160,0401611				
7,763537407	-5,909110546	166,1562805				
7,864967823	-5,722661972	172,2766571				
7,96627903	-5,530851364	178,3916626				
8,067721367	-5,320153236	184,5075531				
8,169039726	-5,090215206	190,6217499				
8,27052021	-4,849061966	196,7407684				
8,371916771	-4,667684555	202,8501129				
8,473325729	-4,497055054	208,9667969				
8,574574471	-4,312886238	215,0681763				
8,676024437	-4,161872864	221,1803741				
8,777444839	-4,017267227	227,2907257				
8,878945351	-3,881720781	233,405777				
8,980475426	-3,753699064	239,5221252				
9,081878662	-3,617947102	245,6268768				
9,18345356	-3,515466452	251,7432556				
9,285086632	-3,420815945	257,8599243				
9,386636734	-3,318136454	263,9741211				
9,488124847	-3,229991436	270,0812378				
9,589670181	-3,155494928	276,1919861				
9,691165924	-3,072785616	282,2990417				
9,792751312	-3,001801252	288,4120178				
9,894390106	-2,940155983	294,5285339				
9,995973587	-2,897501707	300,6377258				
10,09750175	-2,855857849	306,7449341				
10,19919872	-2,817456961	312,8611145				
10,30088615	-2,786416531	318,9727783				
10,40259075	-2,762281895	325,0921936				
10,50431728	-2,740565777	331,2086487				
10,60604286	-2,710033655	337,3231201				
10,707654	-2,674156427	343,4324036				
10,80919933	-2,63647151	349,5370483				
10,91086292	-2,595256567	355,6473389				
11,01258564	-2,55376339	361,7589417				
11,11430073	-2,512919664	367,8727417				
11,21600628	-2,462682724	373,9855347				
11,31784821	-2,400257111	380,1045532				
11,41968727	-2,337967396	386,2267456				
11,52141857	-2,287056684	392,3388977				
11,62325001	-2,229494095	398,4567261				
11,72509098	-2,17071104	404,5751038				
11,82691288	-2,139097214	410,6921387				
11,92868328	-2,101107121	416,8049622				
12,0304451	-2,052237749	422,9179688				
12,13209248	-2,005111694	429,0238647				
12,23387241	-1,962048054	435,13797				
12,3357048	-1,943053842	441,2529602				
12,43752766	-1,911363006	447,3675537				
12,53943157	-1,872889876	453,4898071				
12,64127064	-1,842476249	459,6054382				
12,74313641	-1,814375877	465,7241516				
12,84500027	-1,781716466	471,8408508				
12,94662857	-1,748075247	477,9420471				
13,0484457	-1,712342739	484,0557861				
13,15017605	-1,698610187	490,1654663				
13,25201702	-1,680297732	496,2799377				
13,35396671	-1,667969346	502,4007263				
13,45578289	-1,646867871	508,5131836				
13,55761719	-1,619816422	514,6270752				
13,65941048	-1,587718964	520,7390747				
13,76127911	-1,57220161	526,8566895				
13,86322403	-1,563087463	532,9744873				
13,96516132	-1,556229234	539,0946045				
14,0669775	-1,540951848	545,2061157				
14,16890049	-1,517982006	551,3252563				
14,27077866	-1,509735703	557,439209				
14,37264919	-1,489674687	563,5539551				
14,47452831	-1,468930125	569,6702271				
14,57644081	-1,461410284	575,7890015				
14,67838192	-1,456171632	581,9068604				
14,78028965	-1,449292779	588,026001				
14,88222599	-1,439690709	594,142395				
14,98400021	-1,432761669	600,25177				
15,0858593	-1,422908545	606,364624				
15,18772221	-1,409380198	612,480896				
15,28964424	-1,392208099	618,5966797				
15,39155674	-1,383880854	624,7133789				
15,49350929	-1,384685278	630,8320923				
15,59546852	-1,378846407	636,9528198				
15,69723034	-1,373482585	643,0614014				
15,79905796	-1,369848371	649,1730957				
15,90115643	-1,366328597	655,2983398				
16,00313187	-1,358101606	661,418457				
16,10511208	-1,348651767	667,538147				
16,20695496	-1,346907973	673,6502075				
16,30877686	-1,344237089	679,7588501				
16,41065216	-1,33774662	685,8740234				
16,51247787	-1,332517982	691,9846191				
16,61439133	-1,33188355	698,1010742				
16,71628952	-1,332930565	704,2147217				
16,81825829	-1,332743764	710,3343506				
16,9203167	-1,334444761	716,4579468				
17,02219582	-1,333370566	722,5700073				
17,12412262	-1,334344983	728,6872559				
17,22618294	-1,335677505	734,8122559				
17,32816505	-1,337940693	740,9320068				
17,43019104	-1,341108203	747,0507813				
17,5320549	-1,343643069	753,1645508				
17,63403893	-1,345368862	759,2854004				
17,7360363	-1,34665966	765,404541				
17,83798599	-1,350418806	771,5234985				
17,93982506	-1,354585052	777,6316528				
18,04180717	-1,359542489	783,7529297				
18,14370918	-1,366058588	789,8676758				
18,24563026	-1,374922514	795,982666				
18,34764481	-1,383489966	802,1014404				
18,44953537	-1,390593529	808,2158203				
