scan 120/11/202214:27:31		
temp©	power	time(seconds)
5,004789829	5,412195206	1,022500396
5,118621826	377,8119507	6,149578571
5,22337389	375,131958	12,3020525
5,325155258	302,4908447	18,45456123
5,426613808	246,9351349	24,60707283
5,527980328	203,276474	30,75904846
5,629239082	165,3124695	36,9100914
5,73054266	131,6581268	43,06261444
5,831859589	102,5174255	49,21512604
5,93319416	77,90949249	55,36764526
6,034546852	57,68148804	61,51719666
6,135886192	41,44634628	67,66982269
6,237260818	28,69248009	73,8212204
6,338700771	18,74609184	79,97370911
6,440183163	11,11712933	86,12619781
6,541713715	5,415847778	92,27890015
6,643257618	1,181424379	98,43122101
6,744852066	-1,935031533	104,5837021
6,846496582	-4,191418648	110,7361908
6,948159695	-5,763167381	116,8886719
7,049786568	-6,809754848	123,0363007
7,151521206	-7,493794918	129,1887817
7,253292561	-7,912148952	135,3404999
7,355089664	-8,08251667	141,4928131
7,456908226	-8,092758179	147,6443176
7,558730125	-8,035990715	153,7948456
7,660625458	-7,915123463	159,9474335
7,762519836	-7,734317303	166,0990601
7,864456654	-7,497597694	172,2514038
7,966417789	-7,263968468	178,4038544
8,068387985	-7,016298294	184,5544281
8,170383453	-6,751269341	190,7069244
8,272422791	-6,482938766	196,8584442
8,374442101	-6,27219677	203,0109558
8,476508141	-6,050689697	209,1634521
8,578583717	-5,826480865	215,315979
8,680682182	-5,658635139	221,4684753
8,782820702	-5,509077549	227,6209717
8,884950638	-5,342123508	233,773468
8,987110138	-5,160831928	239,9259491
9,089272499	-5,004403114	246,0784607
9,191464424	-4,880403042	252,230957
9,293642998	-4,755836964	258,3824768
9,395835876	-4,629450798	264,5349731
9,498053551	-4,54236412	270,6875
9,600227356	-4,462775707	276,8351135
9,702459335	-4,372004032	282,9876099
9,804718971	-4,286324501	289,1400757
9,906979561	-4,219220161	295,2926025
10,00925446	-4,168172359	301,4441223
10,1114769	-4,130807877	307,5927124
10,21377659	-4,10158968	313,7452698
10,31608963	-4,066225529	319,8977051
10,41840649	-4,020483494	326,0502014
10,52073956	-3,954803944	332,2026978
10,62306786	-3,879717588	338,3551636
10,72542572	-3,806600332	344,5076904
10,82776546	-3,728515148	350,6602173
10,93013382	-3,648139477	356,8127136
11,03249931	-3,569362402	362,9695435
11,13485336	-3,493116856	369,1167297
11,23723316	-3,420067787	375,2692261
11,33959579	-3,354157209	381,4207153
11,44198704	-3,282190561	387,5732422
11,54438686	-3,213896513	393,7257385
11,64678288	-3,151282072	399,8782349
11,74918938	-3,091257572	406,0307312
11,85159874	-3,028702021	412,1832581
11,95402527	-2,962241173	418,3361816
12,05646229	-2,899325609	424,4882202
12,15885258	-2,836254358	430,6397705
12,26128292	-2,778764725	436,7922668
12,36370373	-2,74527669	442,9437866
12,46614552	-2,70627737	449,0964355
12,56860065	-2,665815115	455,2487793
12,67102718	-2,63177228	461,4002991
12,77345848	-2,582062483	467,5518188
12,87591076	-2,515088081	473,7043152
12,97836399	-2,4620502	479,856781
13,08076477	-2,419273615	486,0054016
13,18322468	-2,373930454	492,1578979
13,28565884	-2,330731869	498,3084412
13,38812447	-2,294774055	504,4609375
13,4906044	-2,258854151	510,6134338
13,59302235	-2,213546753	516,7630005
13,69550419	-2,170536757	522,9155273
13,79798317	-2,132249832	529,0680542
13,90047169	-2,096026421	535,2205811
14,00295162	-2,062044382	541,3730469
14,10544109	-2,025446415	547,5255127
14,20793247	-1,985544086	553,6780396
14,31041145	-1,957386971	559,8295898
14,41290569	-1,909635067	565,9820557
14,5153904	-1,868860602	572,1345215
14,61789322	-1,845931053	578,2870483
14,72039032	-1,823398471	584,4394531
14,82288837	-1,802860379	590,592041
14,9253912	-1,774577856	596,7435303
15,0278883	-1,750177145	602,8960571
15,13034248	-1,729121685	609,0455933
15,23284817	-1,695164919	615,1981201
15,3353529	-1,665659785	621,3508911
15,43787575	-1,641570091	627,5031128
15,54037952	-1,618830085	633,6555786
15,64289474	-1,597673059	639,8081665
15,74541187	-1,58202064	645,9605713
15,84793568	-1,559282303	652,1130981
15,95043755	-1,524145722	658,265564
16,05295181	-1,498522878	664,4180908
16,15543938	-1,483717918	670,5687866
16,25795937	-1,468863249	676,7211304
16,36047173	-1,436437011	682,8736572
16,46298027	-1,419121742	689,0251465
16,56550598	-1,401050687	695,1776733
16,66800499	-1,379695177	701,3292847
16,77051353	-1,357698441	707,4807129
16,87302017	-1,338282585	713,6322632
16,97527122	-1,32762742	719,7659302
17,07723236	-1,313954353	725,8828125
17,1792717	-1,292551517	732,0084229
17,28115082	-1,273226023	738,1194458
17,38299751	-1,265385747	744,2323608
17,48503876	-1,250371695	750,3555908
17,58706093	-1,22922039	756,479187
17,68917465	-1,214168191	762,6053467
17,79124451	-1,191695213	768,7306519
17,89325905	-1,17891252	774,8518066
17,99517059	-1,169609547	780,9682007
18,09725571	-1,156576276	787,0951538
18,19933891	-1,137912512	793,2180786
18,30132484	-1,124195099	799,3397217
18,40342331	-1,107707858	805,4641113
18,50535011	-1,097740412	811,5809326
18,60731697	-1,085141778	817,7026978
18,70912933	-1,073532343	823,8081055
18,81113625	-1,06623733	829,9312134
18,91311646	-1,060556412	836,046875
19,01498413	-1,050052404	842,1613159
19,11692619	-1,030364037	848,2774658
19,21876717	-1,012881637	854,3897095
19,32070351	-1,009406447	860,5065308
19,42264175	-1,001759768	866,6244507
19,52454948	-0,994393766	872,7365723
19,62668419	-0,97849685	878,866272
19,72871971	-0,959759831	884,9891968
19,83077431	-0,938775837	891,1135254
19,93288231	-0,90884769	897,2405396
20,03487396	-0,892743707	903,3577881
20,13681221	-0,890663266	909,4743042
20,23871994	-0,880748391	915,5893555
20,34074211	-0,868402362	921,7136841
20,44280243	-0,859707654	927,8365479
20,54472542	-0,853108108	933,9503174
20,64668274	-0,839227557	940,0689087
20,74860764	-0,825948775	946,1828613
20,85064125	-0,817048728	952,3068848
20,95264816	-0,815336168	958,4227295
21,05461693	-0,809173942	964,5432739
21,15663719	-0,809506774	970,6642456
21,25865173	-0,805514574	976,784668
21,36059761	-0,806662917	982,8990479
21,46238708	-0,800424039	989,0062866
21,56432915	-0,799702883	995,124939
21,66646576	-0,804563999	1001,249512
21,76849937	-0,80547452	1007,37323
21,87055779	-0,809490621	1013,496094
21,97247887	-0,81251049	1019,611023
22,07445908	-0,817180037	1025,733276
22,17656708	-0,821825981	1031,858276
22,2785778	-0,825736582	1037,97876
22,38064575	-0,828401029	1044,100952
22,48259926	-0,828970194	1050,220215
22,58463669	-0,831388295	1056,342285
22,68670654	-0,835177839	1062,463623
22,78873253	-0,8368029	1068,58728
22,89079285	-0,841247618	1074,711792
22,99283981	-0,84191674	1080,833374
23,09487724	-0,844231069	1086,957397
23,19681168	-0,851625562	1093,07373
23,2989006	-0,860600948	1099,197388
23,40086746	-0,867251337	1105,314209
23,50287056	-0,87305969	1111,437378
23,60504532	-0,886562884	1117,566284
23,70713043	-0,901187003	1123,691895
23,80920029	-0,905429184	1129,814697
23,91111183	-0,908012748	1135,929688
24,0132122	-0,916255295	1142,05603
24,11522675	-0,924422979	1148,177612
24,21729279	-0,929442763	1154,302124
24,31942558	-0,95447737	1160,430908
24,42146873	-0,965556979	1166,549316
24,52326202	-0,967346907	1172,656738
24,62526894	-0,967909217	1178,780518
24,72727013	-0,964038968	1184,900269
24,82926369	-0,963342011	1191,0177
24,93126869	-0,964301527	1197,140625
25,0332737	-0,965277493	1203,261963
25,13521767	-0,968157232	1209,377197
25,23727036	-0,96876967	1215,499756
25,33936501	-0,968178391	1221,625732
25,44143105	-0,969078839	1227,752075
25,5433979	-0,968469441	1233,869141
25,64538574	-0,969180405	1239,984741
25,74739647	-0,967830718	1246,106934
25,84930992	-0,967730522	1252,221313
25,95128822	-0,968692839	1258,342285
26,05342102	-0,96782279	1264,469238
26,15544891	-0,965585291	1270,593872
26,25750923	-0,96532768	1276,716187
26,35956955	-0,966441214	1282,838623
26,461689	-0,968099654	1288,966919
26,56379509	-0,97083813	1295,090576
26,66579056	-0,970451355	1301,212891
26,76775932	-0,968659937	1307,331055
26,86977196	-0,968741417	1313,451294
26,97183037	-0,968483925	1319,575073
27,07374001	-0,968176961	1325,687866
27,17573357	-0,968665481	1331,80896
27,27787781	-0,968091369	1337,939209
27,37997437	-0,967033982	1344,064819
27,48200226	-0,892463923	1350,185913
27,58386612	-0,889302731	1356,296387
27,68586349	-0,903195202	1362,415283
27,78787994	-0,912765503	1368,538696
27,88971519	-0,920511067	1374,647705
27,99171448	-0,926719785	1380,77002
28,09366226	-0,930654764	1386,884399
28,19568634	-0,932078421	1393,011108
28,29767609	-0,932823598	1399,126465
28,39955521	-0,933183491	1405,239746
28,5015564	-0,930608571	1411,359375
28,60353851	-0,929246247	1417,478638
28,70543098	-0,928904951	1423,592651
28,80742073	-0,929196954	1429,711792
28,90935516	-0,928349078	1435,827271
29,01124954	-0,927206159	1441,94104
29,11322021	-0,925995827	1448,060181
29,2151432	-0,920675933	1454,175537
29,31711578	-0,910524487	1460,293213
29,41903305	-0,904685736	1466,407593
29,52096939	-0,902919114	1472,523315
29,62285233	-0,902492404	1478,635986
29,72485161	-0,901433527	1484,759155
29,82669449	-0,9025352	1490,869507
29,92860031	-0,904646456	1496,981567
30,03051758	-0,901962936	1503,096069
30,13242149	-0,896238804	1509,212891
30,23441887	-0,895976424	1515,331421
30,33627892	-0,896497846	1521,444702
30,43832016	-0,892724633	1527,565063
30,54032516	-0,891855299	1533,687256
30,6422596	-0,890714884	1539,801147
30,74430084	-0,886831462	1545,924805
30,84630203	-0,874274731	1552,045288
30,94835663	-0,86451292	1558,16748
31,05026436	-0,857539654	1564,284424
31,15215492	-0,853616297	1570,397949
