scan 420/11/202214:27:31		
temp©	power	time(seconds)
99,86566925	-568,6500244	7,136981964
99,75930023	-531,4562378	13,24991703
99,6577301	-419,7422485	19,36303139
99,55664063	-336,003418	25,47929192
99,45571136	-268,9847107	31,59242058
99,35485077	-209,4295654	37,71051025
99,25403595	-155,941452	43,82611465
99,15309906	-109,2630005	49,94836426
99,05217743	-70,01256561	56,0693512
98,95133972	-38,10626221	62,18501282
98,85049438	-12,82495213	68,29992676
98,74954224	6,751279831	74,42365265
98,64861298	21,53014946	80,53712463
98,54776764	32,37623596	86,64969635
98,44675446	40,18483353	92,77248383
98,34583282	45,54463577	98,88414001
98,24472809	49,04852676	105,0115891
98,14365387	51,09737778	111,1253967
98,04253387	52,15183258	117,2462082
97,94137573	52,39297867	123,3654709
97,84025574	52,1577034	129,4827728
97,73899841	51,47126389	135,6065979
97,63789368	50,49271393	141,7170563
97,53665924	49,33232117	147,8380432
97,43539429	47,98020935	153,9567413
97,33417511	46,62098312	160,0697327
97,23293304	45,27874374	166,1851501
97,1315918	43,91763306	172,3029633
97,03025818	42,51773453	178,4220123
96,92903137	41,17800903	184,5323792
96,82766724	39,88903809	190,648468
96,72625732	38,72753525	196,765564
96,62492371	37,63215637	202,8798676
96,52352142	36,69695663	208,99617
96,42194366	35,94092178	215,122406
96,32047272	35,29179764	221,2390594
96,21890259	34,5416069	227,3624268
96,11741638	33,74115372	233,4821472
96,01586914	32,87018204	239,5990601
95,91439056	31,98610878	245,7159271
95,81277466	31,10070229	251,8369141
95,71125793	30,25962257	257,9525452
95,60971832	29,43093681	264,067688
95,50817871	28,67827034	270,1844482
95,40654755	27,91974449	276,3039856
95,30491638	27,22471428	282,4257507
95,20328522	26,56068611	288,5412598
95,10162354	25,93502998	294,662323
94,99997711	25,35129929	300,7778625
94,89823914	24,74658966	306,9022522
94,79658508	24,20524216	313,0204468
94,69506073	23,66281509	319,131134
94,59334564	23,17155647	325,2497864
94,49158478	22,69678116	331,3713989
94,38982391	22,25378418	337,4946594
94,28794861	21,8112545	343,6207886
94,18625641	21,39172745	349,7383423
94,08439636	21,04650879	355,8632813
93,9826889	20,69319534	361,9775085
93,88085175	20,32298279	368,1036987
93,77900696	19,92572594	374,2281189
93,67727661	19,58147621	380,343811
93,57553864	19,30503464	386,4593506
93,47395325	18,98611641	392,5672913
93,37212372	18,6987915	398,686554
93,27026367	18,42745399	404,8109436
93,16854095	18,15303993	410,9231873
93,06671143	17,86893845	417,0463257
92,96483612	17,59409332	423,1691589
92,86290741	17,36061478	429,2931519
92,76096344	17,13736153	435,4211731
92,65897369	16,89747047	441,5498962
92,55699158	16,65927124	447,6779785
92,45507813	16,47624588	453,799469
92,35323334	16,27268791	459,9180603
92,25145721	16,05435944	466,0312195
92,14955902	15,87693596	472,1534424
92,04771423	15,70863342	478,272583
91,94586182	15,53158188	484,390625
91,84401703	15,37105942	490,5091858
91,74211884	15,20703125	496,6277771
91,64037323	15,06653214	502,7388916
91,53848267	14,89277077	508,8591309
91,43673706	14,72666931	514,9728394
91,33487701	14,59936142	521,0872803
91,23308563	14,48132992	527,2016602
91,1313324	14,34909344	533,3110352
91,02945709	14,21230984	539,430542
90,92745972	14,07627106	545,5551758
90,82550049	13,93985081	551,6773682
90,72379303	13,80928707	557,7842407
90,62192535	13,67700958	563,9032593
90,5199585	13,57811642	570,0248413
