scan 920/11/202214:27:31		
temp(C)	power	time(seconds)
5,171023369	401,4829407	9,180334091
5,272889614	337,135437	15,30405998
5,37391758	272,7015686	21,42166138
5,47469902	224,9067078	27,53820419
5,575472832	184,9581299	33,65562057
5,676135063	149,5734406	39,77004623
5,776904106	118,3752136	45,89224625
5,877718925	91,63951874	52,01265717
5,97847271	69,40410614	58,12945938
6,079181194	51,31231689	64,24032593
6,179916382	36,88315964	70,35321808
6,280808449	25,57970619	76,47532654
6,38163662	16,85947418	82,58948517
6,482559204	10,21970177	88,70407867
6,583362579	5,23623085	94,81543732
6,684522152	1,567746758	100,9441833
6,785785198	-1,134675503	107,0739212
6,886965275	-3,035723686	113,1961746
6,988062859	-4,329818249	119,3130646
7,089291573	-5,225073338	125,4380569
7,190634727	-5,789103031	131,5649414
7,292057037	-6,082294941	137,6931458
7,393455029	-6,174993515	143,8201447
7,494902134	-6,168521404	149,9497681
7,596322536	-6,118377686	156,0735168
7,697734356	-5,9668293	162,1982574
7,799086094	-5,768774986	168,3198853
7,900617599	-5,526034355	174,4456177
8,002262115	-5,322515011	180,577179
8,103684425	-5,056250095	186,6929016
8,205114365	-4,789402008	192,8137207
8,306497574	-4,571807861	198,9252472
8,408063889	-4,362552643	205,0483551
8,509625435	-4,159497261	211,1712646
8,611106873	-3,96639967	217,285675
8,71265316	-3,794624805	223,4024811
8,814243317	-3,640011549	229,5241089
8,915624619	-3,468509674	235,6319427
9,017204285	-3,321460247	241,7494507
9,118869781	-3,191913605	247,8716583
9,220482826	-3,0815382	253,9882355
9,322072983	-2,97048068	260,1051025
9,423724174	-2,867455006	266,2248535
9,525438309	-2,771058559	272,3447876
9,627334595	-2,686172247	278,4781189
9,729159355	-2,596180201	284,605011
9,830887794	-2,520870924	290,7254028
9,93269062	-2,460585594	296,8488159
10,03449059	-2,411133766	302,9736938
10,1363039	-2,373453856	309,0975342
10,23812389	-2,344794989	315,2175293
10,33994675	-2,312861204	321,3403931
10,44179726	-2,271162271	327,4673462
10,54366875	-2,214304924	333,5917053
10,64541245	-2,150339127	339,70755
10,74713421	-2,084733486	345,8254395
10,84905434	-2,01254797	351,9525452
10,95084572	-1,939121842	358,0667725
11,05257988	-1,865078688	364,1834106
11,15439034	-1,797777176	370,3015137
11,25627899	-1,717611194	376,4257813
11,35814285	-1,633307695	382,5469666
11,45999146	-1,557465076	388,6650391
11,56192493	-1,495281219	394,7912903
11,66376877	-1,426277518	400,9098511
11,76563072	-1,357492447	407,0272522
11,86749554	-1,289413333	413,1502075
11,96944809	-1,228633523	419,2714844
12,07115173	-1,163285613	425,3795166
12,17293358	-1,095539093	431,4963684
12,27475071	-1,036864638	437,609436
12,37659454	-0,991944969	443,7291565
12,47838783	-0,941567838	449,8407898
12,58022118	-0,891970277	455,9575806
12,68208885	-0,840958774	462,0743408
12,783988	-0,799458861	468,1942139
12,88604927	-0,742796659	474,3226318
12,98802662	-0,694939315	480,4455261
13,09005356	-0,655154288	486,5730896
13,19211864	-0,623448789	492,7011108
13,29426575	-0,587828219	498,8363342
13,39631271	-0,541837692	504,9633179
13,49846268	-0,500782251	511,0940857
13,60052109	-0,456604302	517,2218018
13,7025156	-0,419867367	523,3452148
13,80445576	-0,378550947	529,4666748
13,90645027	-0,347719997	535,5870361
14,00834656	-0,302894443	541,7044678
14,11031437	-0,27823779	547,8265991
14,21233559	-0,256200731	553,9498901
14,31448555	-0,234865934	560,0836182
14,41645527	-0,193255156	566,203125
14,51837349	-0,150701463	572,3223877
14,62034988	-0,116454564	578,4404297
14,72213173	-0,090474807	584,5512695
14,82408619	-0,058290634	590,6722412
14,92596245	-0,037091788	596,7860107
15,02779579	-0,016755635	602,8970337
15,1297245	0,006916046	609,0161743
15,23148537	0,039379604	615,1230469
15,33337879	0,071043193	621,2420044
15,43536663	0,09168458	627,3598633
15,53726292	0,111694902	633,4782715
15,63931179	0,14340055	639,6030273
15,74117565	0,166631892	645,715332
15,84317398	0,188962951	651,8379517
15,94508362	0,220448181	657,9523315
16,04714012	0,242015377	664,0786133
16,14915848	0,260751814	670,2014771
16,25105858	0,276712507	676,3146362
16,35292625	0,296692967	682,4255371
16,45483589	0,316218823	688,543457
