1ptspool-77um-stp2l8-25deg-250rpm24/11/202208:29:18	
Time (seconds)	Raw Heat Rate (uJ / s)
350	-96,13171899
351	-96,13633293
352	-96,14082868
353	-96,14515963
354	-96,14932853
355	-96,15336627
356	-96,1572958
357	-96,16115567
358	-96,16504975
359	-96,16899023
360	-96,17296406
361	-96,17689177
362	-96,18078475
363	-96,18465458
364	-96,1885048
365	-96,1923805
366	-96,19632879
367	-96,20034864
368	-96,20437216
369	-96,20838534
370	-96,21237669
371	-96,21632586
372	-96,22023534
373	-96,2240099
374	-96,2275837
375	-96,23102819
376	-96,23442407
377	-96,23776112
378	-96,24112098
379	-96,244588
380	-96,24823194
381	-96,25194502
382	-96,25564568
383	-96,25939853
384	-96,26322812
385	-96,26717526
386	-96,27128771
387	-96,27544082
388	-96,279605
389	-96,28393874
390	-96,28845316
391	-96,29303096
392	-96,29766612
393	-96,30237503
394	-96,30714576
395	-96,31183207
396	-96,31642215
397	-96,32095663
398	-96,32542279
399	-96,32983506
400	-96,33414164
401	-96,33829946
402	-96,34237017
403	-96,34643272
404	-96,35045632
405	-96,35450198
406	-96,3586883
407	-96,36293471
408	-96,36719498
409	-96,37153708
410	-96,37600991
411	-96,38057028
412	-96,3851438
413	-96,38973692
414	-96,39435366
415	-96,39901027
416	-96,40368085
417	-96,40836475
418	-96,41299139
419	-96,41750092
420	-96,42177866
421	-96,42574681
422	-96,42955997
423	-96,43329512
424	-96,4368422
425	-96,44017835
426	-96,44339467
427	-96,44655074
428	-96,44965114
429	-96,4527572
430	-96,45600208
431	-96,45947037
432	-96,46311801
433	-96,46696698
434	-96,47103742
435	-96,47535071
436	-96,47991731
437	-96,48468344
438	-96,48960206
439	-96,49465926
440	-96,499924
441	-96,50549831
442	-96,51139095
443	-96,51764612
444	-96,52421756
445	-96,53087966
446	-96,53751592
447	-96,54420126
448	-96,55089112
449	-96,55753709
450	-96,56419199
451	-96,57089399
452	-96,57763853
453	-96,58444354
454	-96,59139311
455	-96,59839753
456	-96,60531738
457	-96,61208592
458	-96,61869037
459	-96,62515217
460	-96,63152967
461	-96,63781303
462	-96,64390056
463	-96,64986637
464	-96,65580727
465	-96,66173821
466	-96,66769018
467	-96,67368249
468	-96,6797782
469	-96,68586857
470	-96,69196003
471	-96,69810423
472	-96,70433181
473	-96,7105325
474	-96,71663483
475	-96,72271192
476	-96,72887861
477	-96,73519117
478	-96,74157639
479	-96,74801768
480	-96,7545455
481	-96,76115939
482	-96,76784966
483	-96,77441978
484	-96,78073298
485	-96,78670058
486	-96,79231488
487	-96,79770579
488	-96,80303835
489	-96,8084183
490	-96,81384635
